V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	party_id	V161069_clean	V161072_clean	V161075_clean	V161078_clean	V161098_clean	V161101_clean	V161104_clean	V161106_clean
2199	400517	77.0	0.0	3	4.0	2.0	0.0	6.0	7.0	6.5	1.5	6.0		Trustworthiness.		Lack the demeaner of a Presdient.		Tends to give everthing to anybide in silver platters.	Tends to care about people.	Off track in following the traditional values of GOP	1.0		trustworthiness. 		lack the demeaner of a presdient. 		tends to give everthing to anybide in silver platters. 	tends to care about people. 	off track in following the traditional values of gop
2200	400523	39.0	1.0	3	3.0	1.0	0.0	1.5	4.0	7.0	4.5	5.0				I disagree with many things he has said.					1.0				i disagree with many things he has said. 				
2201	400528	48.0	1.0	3	0.0	2.0	0.5	4.0	3.5	7.0	3.0	5.0	lesser of the 2 evils			mentally unstable disrspectful rascist	Care about people			greedy not a team player doesnt care aboug regular people	0.0	lesser of the 2 evils			mentally unstable disrspectful rascist	care about people			greedy not a team player doesnt care aboug regular people
2202	400530	35.0	0.0	3	0.0	3.0	0.5	5.5	4.5	7.0	1.0	7.0	Experience			He's a racist, he will lead us into war,	America is a better country when the middle class is strong			Everything, racism, sexism, the world has left them behind	0.0	experience			he's a racist, he will lead us into war,	america is a better country when the middle class is strong			everything, racism, sexism, the world has left them behind
2203	400531	59.0	0.0	3	4.0	1.0	0.0	2.0	5.0	2.0	5.5	5.0		She's say anything to get elected. Can't trust her.	He seems hated by mainstream politicians and business.	He seems a like he's a meglomaniac	They do try to help poor in US.	Their vision makes no sense any longer.	They occasionally listen to voices of middle class.	They have really lost their direction in listening to member	1.0		she's say anything to get elected.  can't trust her. 	he seems hated by mainstream politicians and business. 	he seems a like he's a meglomaniac	they do try to help poor in us. 	their vision makes no sense any longer. 	they occasionally listen to voices of middle class. 	they have really lost their direction in listening to member
2204	400532	64.0	1.0	1	6.0		0.0							She is crocked and needs to go to prison	He isn't concerned about being politically correct!!			snobs with no morals	It still has morals	Be strong do their job and back Trump	2.0		she is crocked and needs to go to prison	he isn't concerned about being politically correct!!			snobs with no morals	it still has morals	be strong do their job and back trump
2205	400533	56.0	0.0	3	3.0	3.0	0.0	3.5	6.0	6.0	1.5	5.5		criminality				criminal activity			1.0		criminality				criminal activity		
2206	400534	21.0	1.0	1	0.0		0.0							abortion	business ethics						0.0		abortion	business ethics					
2207	400535	44.0	0.0	1	3.0		0.0														1.0								
2208	400536	64.0	0.0	1	3.0	0.0	0.0	4.0	5.0	6.0	4.5	5.0									1.0								
2209	400542	37.0	1.0	1	5.0	3.0	1.0	4.0	4.0	4.0	4.0	4.0		She is a liar especially when she deleted the emails	He tells the truth about what he is going to do as president			They go about their own thoughts		Most of them only care about themselves	2.0		she is a liar especially when she deleted the emails	he tells the truth about what he is going to do as president			they go about their own thoughts		most of them only care about themselves
2210	400543	64.0	0.0	3	0.0	3.0	0.0	5.5	6.5	7.0	3.0	7.0	Not Donald Trump	Robotic, same platform for last 35 years		racism, uninformed, liar	They at least are trying to help people	Same old proposals; inability to pay for programs		Unwillingness to negotiate and move the country forward;	0.0	not donald trump	robotic, same platform for last 35 years		racism, uninformed, liar	they at least are trying to help people	same old proposals; inability to pay for programs		unwillingness to negotiate and move the country forward;
2211	400544	64.0	1.0	3	6.0		0.0							Her lies	he is trying hard to do what is right for America			Hillary and Bill	They try to follow the constitution	they don't ty hard enough to back the constitution	2.0		her lies	he is trying hard to do what is right for america			hillary and bill	they try to follow the constitution	they don't ty hard enough to back the constitution
2212	400546	61.0	1.0	1	3.0		0.0						prior service								1.0	prior service							
2213	400549	46.0	0.0	1	4.0	2.0	0.5	3.0	5.0	4.0	4.0	7.0	She would be our first Female President	The Email Scandal	He seems as if he would run America like a business	The racial scandal			They attempted to Stop the ObamaCare Health Care		1.0	she would be our first female president	the email scandal	he seems as if he would run america like a business	the racial scandal			they attempted to stop the obamacare health care	
2214	400551	36.0	0.0	3	0.0	1.0	0.0	7.0	6.5	7.0	1.0	7.0	more stable			views on forgien affairs	stance on the middle/poor class		views on foregin affairs	tax issues	0.0	more stable			views on forgien affairs	stance on the middle/poor class		views on foregin affairs	tax issues
2215	400553	56.0	1.0	2	4.0	1.0	0.0	5.0	4.5	6.0	4.5	5.5		Integrity; Cover up of lies and Bill as first man			Some social programs of health	Too many hand outs	You get what you put in	Gay rights and freedom of Abortion	1.0		integrity; cover up of lies and bill as first man			some social programs of health	too many hand outs	you get what you put in	gay rights and freedom of abortion
2216	400557	67.0	0.0	3	6.0	2.0	0.0	5.0	5.5	7.0	3.0	5.5		HER POLITICAL RECORD	NOT HILLARY CLINTON			FOR ABORTION	AGAINST ABORTION		2.0		her political record	not hillary clinton			for abortion	against abortion	
2217	400560	82.0	1.0	2	6.0	1.0	0.0	5.0	5.5	6.0	2.0	4.5		Can't believe anything she says	Hopeful that he can turn this country back like Reagan did	He is too boistrous		Totally untrustworthy	More trustworthy (if that's possible)		2.0		can't believe anything she says	hopeful that he can turn this country back like reagan did	he is too boistrous		totally untrustworthy	more trustworthy (if that's possible)	
2218	400561	23.0	0.0	1	0.0	1.0	0.0	4.0	5.0	5.5	4.0	5.0		Emails and all the people she got killed ,drug dealing w bil	Hes made money thrugh smart investments	Disrespectful towards women and handicapped		Dont like standpoints	Promises they are making		0.0		emails and all the people she got killed ,drug dealing w bil	hes made money thrugh smart investments	disrespectful towards women and handicapped		dont like standpoints	promises they are making	
2219	400563	45.0	1.0	1	5.0	2.0	0.0	4.0	5.0	6.5	3.0	5.0		Liar	Not a political person						2.0		liar	not a political person					
2220	400564	64.0	1.0	3	1.0	0.0	0.0	4.0	7.0	7.0	4.0	4.5	experience			temper	clinton			trump	0.0	experience			temper	clinton			trump
2221	400565	33.0	0.0	2	5.0	3.0	0.0	2.0	5.0	7.0	1.5	7.0		she is corrupt and a liar. also smug and unlikeable.	His honesty and cavalier attitude. The Wall.			Poor immigration control. socialist  policies		Their lack of support for Trump.	2.0		she is corrupt and a liar.  also smug and unlikeable. 	his honesty and cavalier attitude.  the wall. 			poor immigration control.  socialist  policies		their lack of support for trump. 
2222	400566	59.0	0.0	3	2.0	2.0	0.5	2.0	6.0	5.5	1.0	5.5	Experience			He cheats people	It's progressive.			They play on the ignorance of their supporters	1.0	experience			he cheats people	it's progressive. 			they play on the ignorance of their supporters
2223	400567	53.0	1.0	1	1.0	2.0	0.0	5.5	5.0	7.0	2.0	5.0		Not truthful		Many things	Women's rights, especially abortion	Too much regulation and government programs	Gun control stance	Stance on abortion	0.0		not truthful		many things	women's rights, especially abortion	too much regulation and government programs	gun control stance	stance on abortion
2224	400572	57.0	1.0	1	0.0	2.0	0.5	5.5	5.0	6.5	1.5	6.0	experience			His lack of knowledge on world affairs	They are for the middle class			not working for the american people	0.0	experience			his lack of knowledge on world affairs	they are for the middle class			not working for the american people
2225	400573	84.0	1.0	2	0.0	3.0	0.0	5.0	5.0	7.0	1.5	6.5	Knowledge of foreign affairs& gov't	age and stamina	Non Politician	uncontrollable outbursts	everyone is treated relatvely equal			narrow minded,not inclusive of everyone	0.0	knowledge of foreign affairs& gov't	age and stamina	non politician	uncontrollable outbursts	everyone is treated relatvely equal			narrow minded,not inclusive of everyone
2226	400576	64.0	1.0	2	6.0		0.0						FEMALE	TIRED/LOOKS SHADY					KEEPING PURSE LATCHED	THEY LIKE THE GOOD OLE BOY CONEPT	2.0	female	tired/looks shady					keeping purse latched	they like the good ole boy conept
2227	400578	42.0	0.0	2	6.0		0.0						She speaks more down to earth and not against everyone	stooping down to trumps level of bulling and childness	speaks a lot of truth on whats are weaknesses in the country	mouths off gets to far into a make believe cure for the coun	Giving a chance, but not to many	helping people to much 'it is being abused'	being firm make people work fallow the rules	giving in to the democrats	2.0	she speaks more down to earth and not against everyone	stooping down to trumps level of bulling and childness	speaks a lot of truth on whats are weaknesses in the country	mouths off gets to far into a make believe cure for the coun	giving a chance, but not to many	helping people to much 'it is being abused'	being firm make people work fallow the rules	giving in to the democrats
2228	400583	66.0	0.0	3	4.0	2.0	0.0	3.5	4.0	7.0	3.5	6.5		liar, dishonest, selfish, con artist	non establishment. largely self funded, interested in americ			too much welfare, too much involvement in non us affairs	jobs in america, veteran care	some establishment politicans	1.0		liar, dishonest, selfish, con artist	non establishment.  largely self funded, interested in americ			too much welfare, too much involvement in non us affairs	jobs in america, veteran care	some establishment politicans
2229	400587	56.0	1.0	2	6.0		0.0							SHE IS A CROOK & LIAR	KNOWS HOW TO CREATE JOBS, A STRONG MILATARY			GUN CONTROL	IMAGRATIONS		2.0		she is a crook & liar	knows how to create jobs, a strong milatary			gun control	imagrations	
2230	400588			2	3.0	0.0	0.5	4.5	6.0	6.5	2.0	6.0	she is a criminal	corruption	his views	everything		corruption		crooked	1.0	she is a criminal	corruption	his views	everything		corruption		crooked
2231	400591	20.0	1.0	1	3.0		0.0						She is not donald trump.	She wants to take away the second ammendmont & other things		His racisim and dissrespect for women. Also alot more.					1.0	she is not donald trump. 	she wants to take away the second ammendmont & other things		his racisim and dissrespect for women.  also alot more. 				
2232	400592	49.0	0.0	3	6.0	3.0	0.5	2.0	4.0	4.5	2.5	6.5		She broke National Security Laws	Business Background, Executive Experience			Government solves all problems attitude	Free Markets, Less Entitlement	their morphing themselves like democrats	2.0		she broke national security laws	business background, executive experience			government solves all problems attitude	free markets, less entitlement	their morphing themselves like democrats
2233	400594	60.0	0.0	3	3.0	0.0	0.0	2.5	4.0	4.0	4.0	7.0		40 year criminal career	Not a career politician			They're even bigger idiots		They're idiots	1.0		40 year criminal career	not a career politician			they're even bigger idiots		they're idiots
2234	400596	44.0	0.0	1	0.0	3.0	0.0	4.0	4.0	7.0	2.5	2.5	Expreance			Racisim	Helping blue collar workers and the middle class	Working across the aisle with republicans			0.0	expreance			racisim	helping blue collar workers and the middle class	working across the aisle with republicans		
2235	400598	24.0	0.0	3	1.0	3.0	0.5	6.5	5.0	7.0	1.0	4.5		She killed hundreds of soldiers							0.0		she killed hundreds of soldiers						
2236	400600	29.0	1.0	3	4.0	1.0	0.0	6.5	3.0	5.5	6.0	5.0		Benghazi, the fact that she should be in prison	Keeping only legal immigrants in the country	He's too power hungry and overreactive to have so much power	They help people in need and aren't for themselves	Allowing people to abuse the system for people in need	They are practical about where funding goes.	Most are old-school and too conservative for the current gen	1.0		benghazi, the fact that she should be in prison	keeping only legal immigrants in the country	he's too power hungry and overreactive to have so much power	they help people in need and aren't for themselves	allowing people to abuse the system for people in need	they are practical about where funding goes. 	most are old-school and too conservative for the current gen
2237	400603	65.0	1.0	3	6.0	2.0	0.5	4.5	5.5	6.0	2.0	5.5	she appears untrustworthy	again untrustworthy	he has a fresh perspective good core values			uncontrolled spending	reflects core values and respect for constitution	Rhino's	2.0	she appears untrustworthy	again untrustworthy	he has a fresh perspective good core values			uncontrolled spending	reflects core values and respect for constitution	rhino's
2238	400604	45.0	0.0	3	4.0	2.0	0.0	2.0	4.5	5.5	3.0	6.5	Her vast experience and relationships in government	Pro-abortion stance;	Pro-life stance; intention to balance the Supreme Court	His demeanor and behavior towards others	Support of immigrants	Liberal views leading to degradation of morals	Conservative views	Failure to include the poor and immigrants	1.0	her vast experience and relationships in government	pro-abortion stance;	pro-life stance; intention to balance the supreme court	his demeanor and behavior towards others	support of immigrants	liberal views leading to degradation of morals	conservative views	failure to include the poor and immigrants
2239	400605	39.0	0.0	3	4.0	2.0	0.0	4.5	5.0	5.0	2.5	4.0		Not trustworthy	Outside the establishment, could bring new ideas and methids	Lacks true answers to policy changes he would make	Progressive nature on certain social issues	Too much spending	Fiscally responsible, spend less	Antiquated on some things	1.0		not trustworthy	outside the establishment, could bring new ideas and methids	lacks true answers to policy changes he would make	progressive nature on certain social issues	too much spending	fiscally responsible, spend less	antiquated on some things
2240	400607	35.0	0.0	2	3.0	2.0	0.0	5.5	3.0	2.0	6.0	5.5	Bill Clinton	email scandal	Strong Value's and not afraid to tell the truth	He doesn't have much political experience	Bernie Sanders	corruption with Hilary Clinton being nominated	Their ideas on border security	Not doing their jobs when they don't get their way	1.0	bill clinton	email scandal	strong value's and not afraid to tell the truth	he doesn't have much political experience	bernie sanders	corruption with hilary clinton being nominated	their ideas on border security	not doing their jobs when they don't get their way
2241	400609	48.0	1.0	3	1.0	3.0	0.5	4.0	5.5	6.0	2.0	4.0	More realistic views of government decision-making	Insufficient experience dealing with world leaders		His toxic rhetoric and lack of humanity	More humanitarian views	Lack of assertiveness in solving humanitarian issues	Independence in Business	Sometimes too individualistic towards indigents	0.0	more realistic views of government decision-making	insufficient experience dealing with world leaders		his toxic rhetoric and lack of humanity	more humanitarian views	lack of assertiveness in solving humanitarian issues	independence in business	sometimes too individualistic towards indigents
2242	400614	62.0	1.0	1	0.0	1.0	0.0	2.5	4.0	3.5	4.5	4.0				his big mouth					0.0				his big mouth				
2243	400618	66.0	1.0	3	1.0	2.0	0.0	2.5	6.5	7.0	3.0	5.0		has not been truthful	more believable	lets mouth run away with him	concern for the average citizen	abortion, gays, immigration, Christian rights	stand on abortion	greed & bipartisan	0.0		has not been truthful	more believable	lets mouth run away with him	concern for the average citizen	abortion, gays, immigration, christian rights	stand on abortion	greed & bipartisan
2244	400627	69.0	1.0	3	2.0	2.0	0.5	6.0	6.0	7.0	2.5	5.5	Her experience			Not qualified and dangerous	More concerned about social issues and the other 99%	Pro choice	A couple of its members, particularly Kasich plus pro-life s	Tea party, anti -gay sentiment, pro 1% and big business	1.0	her experience			not qualified and dangerous	more concerned about social issues and the other 99%	pro choice	a couple of its members, particularly kasich plus pro-life s	tea party, anti -gay sentiment, pro 1% and big business
2245	400628	68.0	0.0	2	6.0		0.0							a multitude of things for the past 30 years	Not a Washington polotician			There liberals	Economics	They have let Obama get away with murder	2.0		a multitude of things for the past 30 years	not a washington polotician			there liberals	economics	they have let obama get away with murder
2246	400629	73.0	1.0	1	3.0	0.0	0.0	5.5	3.5	3.5	4.5	3.5		No good	Tells it like it is			Dishonesty			1.0		no good	tells it like it is			dishonesty		
2247	400630	58.0	0.0	2	6.0	2.0	0.0	4.0	6.0	6.0	2.5	6.0		she is dishonest	strong leader			too much welfare	no handouts		2.0		she is dishonest	strong leader			too much welfare	no handouts	
2248	400636	54.0	1.0	2	0.0	2.0	0.0	6.0	5.5	5.0	2.5	7.0	She is strong on women issues	Bengazi incident	Needing a change	His short fuse temperament	Its help toward working class	We need a good candidate		They stand for the rich	0.0	she is strong on women issues	bengazi incident	needing a change	his short fuse temperament	its help toward working class	we need a good candidate		they stand for the rich
2249	400637	70.0	1.0	1	1.0	1.0	0.0	4.5	5.5	5.5	3.0	4.0				dont care for him					0.0				dont care for him				
2250	400648	50.0	1.0	1	5.0	2.0	0.5	6.5	6.5	6.5	1.5	6.0		she is a lier and i dont feel safe if she became president	I feel safe if he were president			there not together on the issues	they stand united		2.0		she is a lier and i dont feel safe if she became president	i feel safe if he were president			there not together on the issues	they stand united	
2251	400649	69.0	0.0	2	4.0	2.0	0.5	5.0	3.5	4.5	4.5	4.5		Not Honest	Jobs			Polosi and Reed	attempting to balance the budget.	Planned parenthood stance.	1.0		not honest	jobs			polosi and reed	attempting to balance the budget. 	planned parenthood stance. 
2252	400651	44.0	1.0	3	1.0	0.0	0.0	2.5	4.5	5.0	4.5	4.5	experience			anti social	social care	taxes	taxes	religion/abortion	0.0	experience			anti social	social care	taxes	taxes	religion/abortion
2253	400653	56.0	1.0	2	1.0	1.0	0.0	4.0	4.5	4.5	3.5	5.0	Only one running against Donald Trump			attitude					0.0	only one running against donald trump			attitude				
2254	400654	59.0	1.0	2	0.0	2.0	0.0	6.0	6.5	4.0	3.0	6.0	Just look at what she has done in the last 40+ years!!			he is a lying, prejudice, unprofessional, ASSHAT	They are not as corrupted by 'Corporations'	curruption, like all of todays political arena.		they aren't the Rep. Party they are puppets to' Corporations	0.0	just look at what she has done in the last 40+ years!!			he is a lying, prejudice, unprofessional, asshat	they are not as corrupted by 'corporations'	curruption, like all of todays political arena. 		they aren't the rep.  party they are puppets to' corporations
2255	400657	53.0	0.0	3	0.0	3.0	0.0	1.5	6.0	4.5	3.0	4.5	Strong, experienced, very intelligent.			Prejudices, racism, hatred.	Positions on social issues, economy, taxes, environment.	Not taking advantage of opportunities wgen have them.	They're self-destructing.	Positions on social issues, economy, taxes, environment.	0.0	strong, experienced, very intelligent. 			prejudices, racism, hatred. 	positions on social issues, economy, taxes, environment. 	not taking advantage of opportunities wgen have them. 	they're self-destructing. 	positions on social issues, economy, taxes, environment. 
2256	400658	60.0	1.0	3	0.0	2.0	0.5	3.0	6.5	5.5	2.5	5.0	Experience and track record	I think she isn't as bold in decision making as she could be		Everything he has campaingned on.	At least it strives to better the lives of American citizens	It is still subject to the will of lobbyists		Run by those who want all the wealth of the nation	0.0	experience and track record	i think she isn't as bold in decision making as she could be		everything he has campaingned on. 	at least it strives to better the lives of american citizens	it is still subject to the will of lobbyists		run by those who want all the wealth of the nation
2257	400660	58.0	1.0	2	2.0	0.0	0.0	3.5	5.0		4.0	5.5	she is the best candidate	a better opponent		Trumpism	Economic equality	against my Christian beliefs	religious rights	Economic Inequality	1.0	she is the best candidate	a better opponent		trumpism	economic equality	against my christian beliefs	religious rights	economic inequality
2258	400663	31.0	0.0	3	3.0	2.0	0.0	4.0	4.0	4.5	3.5	4.5		She is nuts too		He is nuts	Health care	Health care	Military	Corporate	1.0		she is nuts too		he is nuts	health care	health care	military	corporate
2259	400667	33.0	0.0	2	5.0	1.0	0.0	4.0	3.0	6.0	3.0	3.5			He knows how to run a business						2.0			he knows how to run a business					
2260	400668	48.0	0.0	3	3.0	0.0	0.5	3.0	6.0	6.5	3.0	6.5									1.0								
2261	400669	54.0	0.0	1	0.0		0.0						She is a smart person.			He is not smart.	good economy			war	0.0	she is a smart person. 			he is not smart. 	good economy			war
2262	400671	46.0	1.0	3	5.0	1.0	0.0	3.5	6.0	6.5	2.5	6.0		LIES, ETC	THE BETTER OF TWO EVILS	IF THERE'S A BETTER CANDIDATE		HIDES THE TRUTH, DON'T LISTEN TO FACTS	CONSERVATIVE REGARDING SOCIAL ISSUES, AND I AGREE WITH MOST	ANTI GAY MARRIAGE	2.0		lies, etc	the better of two evils	if there's a better candidate		hides the truth, don't listen to facts	conservative regarding social issues, and i agree with most	anti gay marriage
2263	400677	34.0	0.0	1	3.0	2.0	0.0	2.5	5.0	3.5	1.5	5.0	Experience	Integrity		Personality, experience, judgement			Values		1.0	experience	integrity		personality, experience, judgement			values	
2264	400678	32.0	0.0	2	0.0		0.0								He has not provided alot of solutions during the debate	How much he likes war					0.0			he has not provided alot of solutions during the debate	how much he likes war				
2265	400679	35.0	0.0	3	0.0	3.0	1.0	6.5	6.5	6.5	2.0	6.0	Here record, values, political philosophy and global outlook			He's inconsistent, poor businessman, horrible human being	Liberal social values, expanded government to assist poor	lack of unity and loyalty	Loyal and United until lately	Socially conservative and lack of support for the less fortu	0.0	here record, values, political philosophy and global outlook			he's inconsistent, poor businessman, horrible human being	liberal social values, expanded government to assist poor	lack of unity and loyalty	loyal and united until lately	socially conservative and lack of support for the less fortu
2266	400680	36.0	0.0	2	2.0	3.0	0.5	4.5	3.5	5.0	3.5	5.0	beat trump	calling blacks super predators		racist				elititst	1.0	beat trump	calling blacks super predators		racist				elititst
2267	400683	80.0	1.0	2	0.0	2.0	0.0	3.0	5.0	6.5	4.0	5.0	Better canidate	Trustworthy?		Arrogance	For the people				0.0	better canidate	trustworthy?		arrogance	for the people			
2268	400685	31.0	1.0	2	6.0		0.0								very smart man	her a good bessimans man			they are up front fokes		2.0			very smart man	her a good bessimans man			they are up front fokes	
2269	400686	68.0	0.0	3	5.0	2.0	0.0	4.0	4.5	5.0	3.5	5.5	Maintaining international peace and stability	Might not be able to handle terrorists	Because I am a Republican	He is against new immigrants	I have several good decent friends and honest friends are de	Big government	Grass root and hard working American	Time changed, it is now who you know, not what you know	2.0	maintaining international peace and stability	might not be able to handle terrorists	because i am a republican	he is against new immigrants	i have several good decent friends and honest friends are de	big government	grass root and hard working american	time changed, it is now who you know, not what you know
2270	400689	65.0	1.0	1	1.0		0.0						rather vote clinton than trumph			personality					0.0	rather vote clinton than trumph			personality				
2271	400691	40.0	0.0	3	0.0	3.0	0.0	4.0	4.5	7.0	1.5	7.0	I believe she represents everybody including minority			He seems to care less about moinority	all races and ethnicity are represented	they support gay marriage	more of christian values	they seems to be indifferent of minorities	0.0	i believe she represents everybody including minority			he seems to care less about moinority	all races and ethnicity are represented	they support gay marriage	more of christian values	they seems to be indifferent of minorities
2272	400693	20.0	0.0	2	1.0	1.0	0.0	2.0	5.5	5.0	1.0	4.0	She is a Democrat	She is for abortion	He doesn't sugar coat anything	He's a liar					0.0	she is a democrat	she is for abortion	he doesn't sugar coat anything	he's a liar				
2273	400696	58.0	0.0	1	5.0	0.0	0.0	5.5	7.0	6.0	1.5	6.5			He is very strong about building the usa				they are looking out for the people	thay are trying to help the usa	2.0			he is very strong about building the usa				they are looking out for the people	thay are trying to help the usa
2274	400697	43.0	0.0	3	5.0	2.0	0.0	6.0	6.0	6.5	3.5	6.0		I don't trust her.				Gun control, foreign policy	pro second amendment and pro capitalism	inability to compromise	2.0		i don't trust her. 				gun control, foreign policy	pro second amendment and pro capitalism	inability to compromise
2275	400699	36.0	0.0	1	0.0	2.0	0.0	4.0	5.5	7.0	5.5	5.5	HEALTH CARE PLAN	SHE LEAKS INFORMATION		HIS MOUTH	THE RULES AND REGULATIONS			THE WAY THEY OPERATE	0.0	health care plan	she leaks information		his mouth	the rules and regulations			the way they operate
2276	400703	49.0	0.0	3	6.0	3.0	0.0	5.0	4.0	6.5	5.0	4.5		lying corrupt	Candidates to the supreme court	tone		everything	national security, fiscal policy	sometimes wimpiness	2.0		lying corrupt	candidates to the supreme court	tone		everything	national security, fiscal policy	sometimes wimpiness
2277	400704	20.0	0.0	2	4.0		0.0							Liar, traitor, corrupt	Secure nation	Somewhat impulsive		often unrealistic/ unimportant points	Direct to issue points generally		1.0		liar, traitor, corrupt	secure nation	somewhat impulsive		often unrealistic/ unimportant points	direct to issue points generally	
2278	400705	56.0	0.0	2	6.0	2.0	0.0	6.0	3.5	6.5	3.0	5.5			He is not Hillary, she is a crook and should be in jail	he is a loud mouth that can't keep his mouth shut when he sh	woman's rights	liberalism, socialism, too free spending	conservative values and less socialism	in fighting within the party and over spending	2.0			he is not hillary, she is a crook and should be in jail	he is a loud mouth that can't keep his mouth shut when he sh	woman's rights	liberalism, socialism, too free spending	conservative values and less socialism	in fighting within the party and over spending
2279	400706	46.0	1.0	2	4.0	2.0	0.5	4.5	7.0	6.5	3.5	5.0		corrupt, flip flops on issues, just to start with	less taxes, stands up for American and holds to his beliefs	Gary Johnson is better candidate for my beliefs	some of the assitance to help get onto good footing	too much assistance to lifetime support	consevative ideas, better for business and working class	gotten off track, lost some of the values	1.0		corrupt, flip flops on issues, just to start with	less taxes, stands up for american and holds to his beliefs	gary johnson is better candidate for my beliefs	some of the assitance to help get onto good footing	too much assistance to lifetime support	consevative ideas, better for business and working class	gotten off track, lost some of the values
2280	400707	76.0	1.0	2	4.0	2.0	0.5	5.0	4.5	6.5	4.5	6.0		she's actually a criminal in my pov	wordly knowledge,  for americans	sometimes shoots from the hip too soon		passed the time to cater to unions, bankrupting the nation	illegals send back,  building the economy, eliminating O'B c	changing toward liberal ideas	1.0		she's actually a criminal in my pov	wordly knowledge,  for americans	sometimes shoots from the hip too soon		passed the time to cater to unions, bankrupting the nation	illegals send back,  building the economy, eliminating o'b c	changing toward liberal ideas
2281	400708	19.0	0.0	2	0.0	1.0	0.0	2.0	6.0	2.0	2.0	3.0	I agree with most of what she has planned to do.			Im Mexican. So for his racist comments.	Health care. Taxes.				0.0	i agree with most of what she has planned to do. 			im mexican.  so for his racist comments. 	health care.  taxes. 			
2282	400712	32.0	1.0	2	3.0	2.0	0.0	5.0	4.0	6.5	1.0	4.0		Liar. Crooked. Doesnt seem to care about anything or anyone	Tells it how it is. Against big government.		Prochoice	Want big government.	Want more freedom		1.0		liar.  crooked.  doesnt seem to care about anything or anyone	tells it how it is.  against big government. 		prochoice	want big government. 	want more freedom	
2283	400717	36.0	0.0	1	3.0		0.0														1.0								
2284	400719	39.0	1.0	3	1.0	2.0	0.5	1.5	6.0	6.5	2.0	6.5	Gov experience, political connections, pro choice, feminist	PAC money and ties to interest groups		Sexism, ego, lack of tact, lack of government exp	Pro choice, willing to try new things				0.0	gov experience, political connections, pro choice, feminist	pac money and ties to interest groups		sexism, ego, lack of tact, lack of government exp	pro choice, willing to try new things			
2285	400727	59.0	0.0	3	4.0	2.0	0.0	5.5	4.5	4.5	1.5	5.0		Untruthful, elitist, arrogant	Transparency, sincerity, honesty	Extremism		Using tragedy to promote political agendas.	Support of the US Constitution		1.0		untruthful, elitist, arrogant	transparency, sincerity, honesty	extremism		using tragedy to promote political agendas. 	support of the us constitution	
2286	400728	41.0	1.0	3	2.0	3.0	0.5	7.0	6.0	6.5	3.0	7.0	She is intelligent and prepared.			He is racist.	inclusive		Fiscal conservatism	White ideology.	1.0	she is intelligent and prepared. 			he is racist. 	inclusive		fiscal conservatism	white ideology. 
2287	400732	34.0	0.0	1	3.0	2.0	0.0	4.5	4.5	6.0	2.5	5.5									1.0								
2288	400733	30.0	1.0	2	5.0	0.0	0.0	5.5	6.0	4.0	5.0	5.5		She's a terrible person		He is also a terrible person		Belief in abortion	Pro life		2.0		she's a terrible person		he is also a terrible person		belief in abortion	pro life	
2289	400735	39.0	1.0	3	5.0	3.0	0.0	4.0	6.0	5.5	2.5	2.5		Trustworthiness	Stance on illegal immigration and taxes	Temperamental		Untrustworthy	Conservative	Need to hold the President responsible	2.0		trustworthiness	stance on illegal immigration and taxes	temperamental		untrustworthy	conservative	need to hold the president responsible
2290	400737		0.0	3	6.0	3.0	0.0	2.0	4.0	6.5	3.5	2.0		Benghazi and lack of trust. Terrible candidate.	Business experience			fiscally non responsible; weak on military			2.0		benghazi and lack of trust.  terrible candidate. 	business experience			fiscally non responsible; weak on military		
2291	400738	57.0	1.0	2	3.0	2.0	0.0	4.5	5.5	6.5	3.0	4.5		Abortion issues	Lesser of two evils						1.0		abortion issues	lesser of two evils					
2292	400739	33.0	0.0	2	0.0	0.0	0.0	5.5	4.0	4.0	2.5	3.0	She have experience			Not ready to run this country	There for the people				0.0	she have experience			not ready to run this country	there for the people			
2293	400740	35.0	1.0	3	2.0	2.0	0.0	3.5	6.0	5.0	6.0	6.5	Woman's rights	so much of her campaign is dictated by who donates to her		Ignorance, He's just terrible	Support for the masses (want free college, free healthcare,	don't do enought for the masses (want paid maternity leave,	support of 2nd amendment	Rich men protecting rich men, lack of woman's rights.  arrog	1.0	woman's rights	so much of her campaign is dictated by who donates to her		ignorance, he's just terrible	support for the masses (want free college, free healthcare,	don't do enought for the masses (want paid maternity leave,	support of 2nd amendment	rich men protecting rich men, lack of woman's rights.   arrog
2294	400742	57.0	1.0	3	1.0	2.0	0.0	4.0	6.0	5.5	4.5	3.0	Years of Service (Experience)	Entitlement (Email Transgression)		International Relations Disaster	Openess to New Ideas and Diverse Backgrounds	Too Liberal	Job Security	Too Conservative	0.0	years of service (experience)	entitlement (email transgression)		international relations disaster	openess to new ideas and diverse backgrounds	too liberal	job security	too conservative
2295	400745	59.0	0.0	1	6.0	2.0	0.5	1.5	2.5	7.0	2.0	5.0		Demeanor	Different views						2.0		demeanor	different views					
