V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	party_id	V161069_clean	V161072_clean	V161075_clean	V161078_clean	V161098_clean	V161101_clean	V161104_clean	V161106_clean
75	300170	27.0	1.0	1	1.0	1.0	0.0	2.5	6.0	4.5	2.5	3.0	she seems more capable, more experienced with politics//			the way he is, his personality is not presidential//	they are more towards the lower and middle class//			they are helping themselves more//	0.0	she seems more capable, more experienced with politics.  			the way he is, his personality is not presidential.  	they are more towards the lower and middle class.  			they are helping themselves more.  
76	300171		0.0	1	5.0	2.0	0.0	4.5	5.0	6.0	3.0	6.0	AHAA ABOUT JOB SECURITY AND EQUALITY//	HER HEALTH//		RACES INMIGRATION LAWS//		RACES//	THAT THE AGENDAS ABOUT THE COUNTRY GROW//		2.0	ahaa about job security and equality.  	her health.  		races inmigration laws.  		races.  	that the agendas about the country grow.  	
77	300172	46.0	1.0	2	4.0	3.0	0.0	6.5	7.0	5.0	6.0	6.0		everything, she lies//	he is a regular person, there are so many things that i do not like about hilary clinton and that has pushed me more towards him//	he can be a little crasp when not reading from a telepromter//		dont like the entitlements that are given//			1.0		everything, she lies.  	he is a regular person, there are so many things that i do not like about hilary clinton and that has pushed me more towards him.  	he can be a little crasp when not reading from a telepromter.  		dont like the entitlements that are given.  		
78	300175	35.0	0.0	2	2.0	2.0	1.0	3.5	4.0	5.0	2.5	7.0	she is not donld trump , she is a woman, she is at lest to pretend to cre// no alternative// she sided with bernie on the college her abilitly to reconcile differences i rcan respect tht whether she does it or not	her prefernce to be lobbied to by large bank and corportarions her susceptiblity to lobbing that has little to do with my benefit// why is it her the biggest money the bank are trying extra hard toward her and her association with Saudi arabria she doesnt's acknowlege it		lack of experience, his grasp public personia// racism in differnce to be supported by racist community, his indifference in general disturb's me//he not a stakely figure he wouldn't honor the office and he would cost the economy billions of dollars if he followed through on some of the things he said.	liberal attitudes, liberal agendas//	their sneaky ways or candestin attitudes toward politics// and their inabilitly to have a strong push toward their values they are just coasting on the values// strong leadership to get things done	their passion//	a lot, their ppolicies in gerneral the conservative social policies, their inabvility to provide some kind of common man, tax policy// their inability to support , their religious strangle hold, republican is the olnly one with religious hold, republican party is not associated with the party	1.0	she is not donld trump , she is a woman, she is at lest to pretend to cre.   no alternative.   she sided with bernie on the college her abilitly to reconcile differences i rcan respect tht whether she does it or not	her prefernce to be lobbied to by large bank and corportarions her susceptiblity to lobbing that has little to do with my benefit.   why is it her the biggest money the bank are trying extra hard toward her and her association with saudi arabria she doesnt's acknowlege it		lack of experience, his grasp public personia.   racism in differnce to be supported by racist community, his indifference in general disturb's me.  he not a stakely figure he wouldn't honor the office and he would cost the economy billions of dollars if he followed through on some of the things he said. 	liberal attitudes, liberal agendas.  	their sneaky ways or candestin attitudes toward politics.   and their inabilitly to have a strong push toward their values they are just coasting on the values.   strong leadership to get things done	their passion.  	a lot, their ppolicies in gerneral the conservative social policies, their inabvility to provide some kind of common man, tax policy.   their inability to support , their religious strangle hold, republican is the olnly one with religious hold, republican party is not associated with the party
79	300176	44.0	1.0	1	4.0	0.0	0.0	4.5	5.5	6.5	3.5	5.5									1.0								
80	300177	78.0	1.0	1	1.0	0.0	0.0	4.5	4.5	4.0	5.5	4.0	she has a back up with her husband, h was a president at one time\\shes a first lady\\she has a lot of class about her\\good personality\\just a sharp lady and smart			hes very arrogan\\he dont talk smart	they have always been fair\\i was raised iwth a family of democrats\\they have always been fair\\they always look out for the poor			they lookout more for themselves\\	0.0	she has a back up with her husband, h was a president at one time.  .  shes a first lady.  .  she has a lot of class about her.  .  good personality.  .  just a sharp lady and smart			hes very arrogan.  .  he dont talk smart	they have always been fair.  .  i was raised iwth a family of democrats.  .  they have always been fair.  .  they always look out for the poor			they lookout more for themselves.  .  
81	300179	83.0	0.0	3	4.0		0.0							PICK OF SUPTREME COURT WOULD BE WORST THING\	FACT THAT HE IS INTERESTEDINPROVE THE LIFE OF AMERICANPEOPLE OVER OA ONE WORLD ENCOMEY	HIS INABLITY TO CONTROL HIS EMOSIHILON	SINSERCE LEGISLATION TRYING TO HELP SOME PEOPLE	DONT LIKE THE WAY THEY PICK CANIDEMNT	PHYICAL CONSERITIVE	DONT LIKE HOW THEY PICK THERE CANIDENTS	1.0		pick of suptreme court would be worst thing.  	fact that he is interestedinprove the life of americanpeople over oa one world encomey	his inablity to control his emosihilon	sinserce legislation trying to help some people	dont like the way they pick canidemnt	phyical conseritive	dont like how they pick there canidents
82	300180	65.0	1.0	2		2.0	0.0	4.0	6.0	7.0	1.0	5.5	being a female, experience in politics and husband		power, knows politics	doesnt like that he discrimates other races, we all want to be represented in the US	that its learning, has the right to learn, that its defending itself	doesnt like the healthcare fine for those who are uninsured	has experience, knows more about the country, more time in politics	doesnt like the way the politic parties damage each other, dont work together		being a female, experience in politics and husband		power, knows politics	doesnt like that he discrimates other races, we all want to be represented in the us	that its learning, has the right to learn, that its defending itself	doesnt like the healthcare fine for those who are uninsured	has experience, knows more about the country, more time in politics	doesnt like the way the politic parties damage each other, dont work together
83	300181	55.0	0.0	1	0.0	2.0	0.0	5.0	4.0	5.5	4.5	5.0	she's a democrat that's what i am she is getting iffy you gotta watch the media the media try to twist you up//i just hope donald trump doesnt get in their because he so outlandish with the things he does im like the commericial i wouldn't want him to have the code to the missles he is not for people he has his own agenda i imagine the agenda would be for the rich	well you know i dont know why she would have a private server and the media only let you hear only so much it will come out later but the fbi cleared her its a two-sided coin		he's crazy//he very rude and not a people person and i think he will be for the rich the poor will keep getting poorer and the rich will get richer like its been going	well they use to be for union and i was a union man and its like havinf a reppublican and democratic but replublican want to bust unions and they always have//	i think they can make some better choicess//		they fight too much they are rediculous but it takes two to fight and sometimes you have to fight but theydo it for fun//	0.0	she's a democrat that's what i am she is getting iffy you gotta watch the media the media try to twist you up.  i just hope donald trump doesnt get in their because he so outlandish with the things he does im like the commericial i wouldn't want him to have the code to the missles he is not for people he has his own agenda i imagine the agenda would be for the rich	well you know i dont know why she would have a private server and the media only let you hear only so much it will come out later but the fbi cleared her its a two-sided coin		he's crazy.  he very rude and not a people person and i think he will be for the rich the poor will keep getting poorer and the rich will get richer like its been going	well they use to be for union and i was a union man and its like havinf a reppublican and democratic but replublican want to bust unions and they always have.  	i think they can make some better choicess.  		they fight too much they are rediculous but it takes two to fight and sometimes you have to fight but theydo it for fun.  
84	300182	69.0	1.0	3	0.0	3.0	0.0	4.5	4.0	7.0	4.0	6.5	I vote for her because she is very smart. The first thing that i know that she does is for the women and education and for mothers. I think she will be a good President.//	Disappointment that she lies. Security for body guard. Emails she should have said I am very sorry. She was late. I do not have another choice to vote for her. //		I will never vote for him and I will never vote for him especially how he speaks about the Mexican people about chinese and all asian people. He doesnt know about politics alot as Hiliary and if he is President he is going to send us down the hall. I do not like the way he treats Hiliary. I have so much to say about him. I do not have any feels for him no good feelings also about him. He is a thief regarding the University he stole from the students Obama is zero for me.Upset with Obama//	They are not racist. They always help people especially in the health care. //	That they say one thing and later on they disapprove what they say about something.//			0.0	i vote for her because she is very smart.  the first thing that i know that she does is for the women and education and for mothers.  i think she will be a good president. .  	disappointment that she lies.  security for body guard.  emails she should have said i am very sorry.  she was late.  i do not have another choice to vote for her.  .  		i will never vote for him and i will never vote for him especially how he speaks about the mexican people about chinese and all asian people.  he doesnt know about politics alot as hiliary and if he is president he is going to send us down the hall.  i do not like the way he treats hiliary.  i have so much to say about him.  i do not have any feels for him no good feelings also about him.  he is a thief regarding the university he stole from the students obama is zero for me. upset with obama.  	they are not racist.  they always help people especially in the health care.  .  	that they say one thing and later on they disapprove what they say about something. .  		
85	300184	55.0	0.0	3	2.0	3.0	0.0	6.0	5.0	6.0	2.5	6.0	She knows how Washington works.//As a Secretary Of State has esperience ion how to navigate the political system in Washington.//	Her inability to come clean on a couple of political issues. for example Benghazi.//For her it's like picking my poison.//		This narrative that he's a great business man is absolutely not the case. In my opinion.//He's a horrible business man.//he's bankrupted his casinos god knows how many times.//Bond issue after bond issue 30 cents on the dollar time and again. yes hes legally used the tax code system but to the dtriment of hundreds of thousands of shareholders over the last 2 to 3 decades.//Totally uninformed on political topis and subjects of interest.//Anyone running for the office of president should be more informed.//Horrible disposition.//Combative. A bully.//No compassion and indifferent.//	I guess in principle they at least attempted or purported to be to kind of give more of a compassionate and empathetic approach to supporting those for a variety of reasons or a variety of issues during times in people's lives that need some help. The problem has always been finding ways to somehow sort out snd prioritize hose issues that are most compelling and put in the necessary resurces to attain the best results.//	They've have to find new and innovative ways to address many of the problems that they've been champions for for the last fifty years.//	Eliminating dounble taxation for corporations.//I'm in favor for adjusting the tax code but not with the focus on the top 1 percent.//	Ss much as they say that they want to be inclusive, I think they still have difficulty making that believable.//I think as a party the immigration platform if you will the overwhelming view tends to be unrealistic and over the top as it relates to their policy regarding immigration.//Syill spend incrediblt too much money on defense as it relates to artillery, planes, the hardware the tradional way of building ones defewnse spending. Should spend a significantly higher proportion should be spent from a cyber standpoint.//	1.0	she knows how washington works. .  as a secretary of state has esperience ion how to navigate the political system in washington. .  	her inability to come clean on a couple of political issues.  for example benghazi. .  for her it's like picking my poison. .  		this narrative that he's a great business man is absolutely not the case.  in my opinion. .  he's a horrible business man. .  he's bankrupted his casinos god knows how many times. .  bond issue after bond issue 30 cents on the dollar time and again.  yes hes legally used the tax code system but to the dtriment of hundreds of thousands of shareholders over the last 2 to 3 decades. .  totally uninformed on political topis and subjects of interest. .  anyone running for the office of president should be more informed. .  horrible disposition. .  combative.  a bully. .  no compassion and indifferent. .  	i guess in principle they at least attempted or purported to be to kind of give more of a compassionate and empathetic approach to supporting those for a variety of reasons or a variety of issues during times in people's lives that need some help.  the problem has always been finding ways to somehow sort out snd prioritize hose issues that are most compelling and put in the necessary resurces to attain the best results. .  	they've have to find new and innovative ways to address many of the problems that they've been champions for for the last fifty years. .  	eliminating dounble taxation for corporations. .  i'm in favor for adjusting the tax code but not with the focus on the top 1 percent. .  	ss much as they say that they want to be inclusive, i think they still have difficulty making that believable. .  i think as a party the immigration platform if you will the overwhelming view tends to be unrealistic and over the top as it relates to their policy regarding immigration. .  syill spend incrediblt too much money on defense as it relates to artillery, planes, the hardware the tradional way of building ones defewnse spending.  should spend a significantly higher proportion should be spent from a cyber standpoint. .  
86	300185	31.0	0.0	3	2.0	2.0	0.0	5.5	5.5	4.0	1.5	5.5	she's female	her husband was president before and she has a lot of special interests and private interests		corporate elitist//arrogant//racist	more for the prevailing good of all	big government	smaller government	religious affiliations, particularly evangelical//individualistic	1.0	she's female	her husband was president before and she has a lot of special interests and private interests		corporate elitist.  arrogant.  racist	more for the prevailing good of all	big government	smaller government	religious affiliations, particularly evangelical.  individualistic
87	300186	68.0	0.0	3	2.0	2.0	0.5	5.0	5.0	4.5	2.0	5.5	her political experience,\\	jer toes tp career politicians\\[olliticians	he is not a careeer politician\\	his personality, his position on major issues, or lasck of , his attitude toward women and minorities, \\	their concern for human rights, they are liberal, approach\\	they are unwilling to compromise. on either party, \\		the emfaces on big business and the conservativeness	1.0	her political experience,.  .  	jer toes tp career politicians.  .  [olliticians	he is not a careeer politician.  .  	his personality, his position on major issues, or lasck of , his attitude toward women and minorities, .  .  	their concern for human rights, they are liberal, approach.  .  	they are unwilling to compromise.  on either party, .  .  		the emfaces on big business and the conservativeness
