measure,network_stat,estimate,se,ci_low,ci_high,t_stat,p_value
female,entropy,-0.0017332475504033909,0.010084522617173897,-0.02150084361280694,0.01803434851200016,-0.17187204751285678,0.8635414582687577
female,disssortativity,0.0069888057320037665,0.010450790105968102,-0.013496745211125503,0.027474356675133038,0.6687346756694204,0.5036795527838106
female,k std,0.011167127289539013,0.010985458823202933,-0.010366475812610295,0.03270073039168832,1.0165371760305877,0.3093972382726977
education,giant component,0.031256362294829254,0.010698430742887973,0.010285412164874087,0.05222731242478442,2.9215838328072214,0.003489966342453654
education,k avg,0.06671854659272489,0.010475871532187972,0.04618385285120959,0.08725324033424017,6.36878243377906,1.984902489863074e-10
education,clustering,-0.009383239733755664,0.009726137528164269,-0.02844831217214723,0.009681832704635901,-0.9647447104859801,0.3346948676735807
education,density,-0.0012946205670610585,0.011650749536768285,-0.024132296852799835,0.02154305571867772,-0.1111190797618128,0.9115240381740537
education,entropy,-0.030922932565477436,0.00999033390534502,-0.05050588006762863,-0.011339985063326247,-3.0952851885093726,0.0019714005255267804
education,disssortativity,-0.008287709489313249,0.010358988590311917,-0.02859329022345912,0.012017871244832624,-0.8000500644497476,0.4236998562373112
education,k std,0.036018642100341836,0.010881961104015823,0.014687936626918422,0.05734934757376525,3.30994034586741,0.0009362961890340769
