subj_id,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,age,female,education,question,net_stats,word_count,giant component,k avg,clustering,density,entropy,disssortativity,k std
4067,6.0,2.0,0.0,6.5,4.0,6.0,4.5,4.5,57.0,1.0,1,V161078_stats,"{'node_count': 5, 'edge_count': 3, 'clustering': 0.0, 'giant component': 0.8, 'disssortativity': 0.4999999999999988, 'k avg': 1.2, 'k std': 0.8366600265340756, 'entropy': 0.7081187730841113, 'density': 0.3}",13,0.8,1.2,0.0,0.3,0.7081187730841113,0.4999999999999988,0.8366600265340756
4068,3.0,2.0,0.5,4.0,5.0,5.5,4.0,4.5,28.0,1.0,3,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",8,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
4073,2.0,3.0,0.5,6.0,6.5,6.5,1.5,6.0,55.0,1.0,3,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6666666666666666, 'k avg': 1.6, 'k std': 0.8944271909999159, 'entropy': 0.6378723516343402, 'density': 0.4}",6,1.0,1.6,0.0,0.4,0.6378723516343402,0.6666666666666666,0.8944271909999159
4081,0.0,2.0,0.5,4.5,7.0,5.5,1.0,4.5,28.0,0.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",3,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4082,0.0,2.0,0.0,3.0,5.0,5.0,3.0,5.0,64.0,1.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",5,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4083,3.0,2.0,0.0,4.0,4.0,5.0,3.0,5.0,86.0,0.0,1,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",6,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
4084,0.0,2.0,0.0,2.5,6.5,3.0,1.5,5.5,53.0,0.0,3,V161078_stats,"{'node_count': 6, 'edge_count': 5, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.7391304347826096, 'k avg': 1.6666666666666667, 'k std': 1.2110601416389966, 'entropy': 0.5218811676159854, 'density': 0.3333333333333333}",8,1.0,1.6666666666666667,0.0,0.3333333333333333,0.5218811676159854,0.7391304347826096,1.2110601416389966
4085,0.0,,0.0,,,,,,53.0,0.0,2,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",4,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4095,5.0,,0.0,,,,,,58.0,1.0,2,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",6,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
4097,5.0,1.0,0.0,2.0,6.0,5.5,2.0,4.0,22.0,1.0,3,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",11,1.0,1.5,0.0,0.5,0.4393743703526205,1.0,1.0
