V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
578,301411,42,0,1,4,3,0,3.5,4,4,3.5,3.5,"I like the way she leads, the way she speaks about medicare, very good with everyone, medicare the best one//",,,,I like the medicare//,"i dont like the increase in taxes, tax the middle class//","I like the way they run the business, they know how to//","I dont like that they dont pay into medicare, pay so much for meducare for nithing//"
579,301412,55,0,3,0,3,0,2,6,6,2,6,"she is well educated, she has experience working in government and is familar with our system of gov",,,"he is incompondent unqualified has not even held a scity council position, demogod, racist",they attempt to step i and correct problems of social injustice,factions within the party too idealistic,lost their vantage lately,how they want to legislate religous views
580,301416,21,1,2,5,,0,,,,,,,her dishonesty her lack of knowledge of international affairs,he is directness and honesty -,he is lack of maturity -,openess to mpove forward,a very judgemental if your opinions do not line up with theirs,their devotion to the government,narrow minded
581,301418,28,0,1,4,0,0,4.5,5.5,4,4,5,DONT HAVE A CHOICE// ITS THE PEOPLE THEY PUT IN FRONT OF YOU//,IF THERE WAS A BETTER OPTION//,,EVERYTHING//,,,,
582,301419,80,1,2,6,2,0,7,7,7,1,6.5,,Scandal of the e-mails.//Her reputation with other workers in the past.//,I feel like he could make major critical decision for our country.//,,I like a lot that are associalted with the Democratic Party that are reputable.//,,"The very strong reputable, Christian people.//",
583,301420,30,0,3,2,0,0,7,5.5,5.5,1.5,6.5,,,,,ANN COULTER IS NOT PART OF IT,,,
584,301421,38,0,2,3,2,0,5,6.5,7,1,6,,dishonesty//,,he's not scared and he has too much money. he doesn't have a filter. i don't like his mouth piece at all. i think this country will go to great war if he's elected//,,economy//,,gun control//
585,301423,,1,3,1,,0,,,,,,she has donated a lot of organizations like IMLS//,all the things that are hidden,,he hates everyone//,,,,
586,301429,60,1,3,0,2,0,4,7,7,1.5,6,strong polical background,,,just idoid,,,,
587,301433,80,0,3,6,3,0,4.5,6.5,7,1.5,5,,SHE IS DISHONEST//,HE IS SUCCESFUL IN WHAT HE DOES//THATS THE MAJOR THING//,THE MOST NEGATIVE TRAID IS DESPOSITION//,,WAY TOO LIBERAL//,THEIR CONSERVARTISVMO//,THEY DON'T TAKE A STRONG STAND// FOR THE REASON WE ELECTED THEM//
588,301434,39,0,2,1,1,0,3,4,5.5,2,6,"MAKES PEOPLE COME TOGETHER, STANDS FOR EQUALITY FOR ALL RACES, PEOPLE//",,SUPPORTS LEGAL WORKERS//,"DIVISION OF PEOPLE, RACISM//","THEY ARE WORKING WITH LOW INCOME PEOPLE, FAIR WITH TAXES//",,,THEY ARE FOR THE RICH PEOPLE//
589,301436,58,1,2,1,2,0,5.5,5,5.5,4,5,,she is not trust worthy/ been caugth in too many lies,,pretty much everything//I just don't like the things he says and does/it's scary to me if he is president//,,lying,,
590,301439,58,0,2,4,1,0,3.5,5,5.5,2.5,4.5,,"national security, totally ignorant of it, wants to destroy our military//","to keep Hillary out, he deserves a chances, definitely has some ideas//","inexperience, loose cannon//",,usually when the Democrats are in things go south for me//,"I always do better with the Republicans, agreed with most of their stuff//",
591,301440,23,1,1,6,2,0,5,6,6,2,5.5,,So many things. I think she constantly struggles with telli ng the truth. I dont thonk she can hancdle the major decisions that would come her way. I dont think shes handeled or don much good in the positions she has had so far. Her corruption.//,His honesty.//His bluntness,,passion for equality//,Taxes//,Conservative values//,foreign policy//
592,301442,26,0,2,2,2,0,4,5,3.5,4.5,5,She is going to work with Bernie with college students.  Because I am a college student myself//Tax breaks.,Probably the e-mail scandal maybe.,,,,,,
593,301446,62,1,1,6,2,.5,6,5,5.5,3,4,,everything,"helping the economy, bringing jobs back to the us,",deportation and building a wall,,"eerything, want to keep people poor. started out as a good thing, but cant make puppets out of everyone",9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,can be extreme
594,301452,45,0,2,0,,0,,,,,,She cares about the worker class and immigrant families,,,He is a racist person,They care about workers and immigrants//,,,They dont care about workers and immigrant families//
595,301454,34,1,3,3,3,.5,3,5.5,5,5.5,5.5,TRUST HER WITH WEMANS RIGHT,SHE BEEN FOMD TO LIE IN MANY OCCAION ABOUT IMPORTAT THINGS A WAR HARK CAMPAIM FUND BY LARGE BANKS AND CORP,,EVERYTHING,equal rights,to much like republician  now if you take tea bagger they be the same,giving states more right like federal goverment,everything else
596,301455,29,1,1,6,1,.5,5.5,6,6,2.5,5.5,,I feel she is a liar,I agree with his version of things than the other candidate,,,i dont agree wih them,I tend to agree with their view on politics,
597,301456,36,1,1,4,1,0,4.5,6.5,6,4,5.5,,"She's a lier//She wants to get rid of the coal industry and [REDACTED DETAILS], a lot of people would be without jobs, [REDACTED DETAILS]//","He's straight to the point, I believe he doesn't need to benefit from the income of the presidency, he's got more money than anyone, and he's a business man and that's what we need//",,,,,
598,301457,25,0,2,2,2,0,3.5,5.5,3,2.5,5.5,my views align with the democratic party/no,,,govermental inexperience/lack of integraty/no,they are more favorable for health care reform/no,the can be more progresive/no,,too conservative/no
599,301458,67,1,2,0,2,.5,5,5,6,4,2.5,"Well, Hilary been in the senate for a very long time. She has helped an tremendous amount of people and the most important thing she has done is too help children.//",,,"Yes, He is not a good candidate when it comes to women. He really has a vulgar mouth and he has No respect for women.//And he doesnt know anything about government as far as i'm concerned.//That's it",I believe that the Democratic party works for everyone. All citizens.//They set goals to help everyone and not leave out anyone.//That's it.,,,"The republican party wants to cut Obamo Care that has been a great uh...what word do I want to use. A great help for all citizens especially for those who never had any medical at all. I don't believe that the Republican party is concerned about the citizens as much as the Democratic party is. Especially, the poor people.//"
600,301459,36,0,3,2,,0,,,,,,She's not Donald Trump.//,"On a personal level, I don't like her. That's really it.",,"My main concern is his demeanor.  I think he's dishnest, unscrupolous, and wuld set a bad example for the rest of the world.  I also think he has showed himself to be racist and bigooted towards certain groups of people.  I think my biggest concern is he seems to be a bully.  And doesn't understand diplomacy.",Conceptually I like that they appear to be focused on helping society. And I like that they're fcused on the middle class.,I strongly dislike what happened during the convention this year. It appearss from the outside that there was a lot of corruption. I also dislike that they've swung more to the right over the years.  They seem to be more like Republican-like and they're als fractured because there is the hard left.,I like the concept of less government. I also like their ideas surrounding the economy.,"I hate that they're fractured. I also dislike that they claim, parts of the Republican party claim they want to reduce government oersight, but are hypocritical when it comes to topics like women's reproductive rights."
601,301460,27,0,2,2,0,0,5,5,6.5,3.5,5.5,SHE WOUD HAVE A LITTLE BIT OF HEAD START BECAUSE HER HUSBAND WAS IN THERE//,JUST WITH THE INACCURACY OF KNOWING THE DIFFERENCE BETWEEN HER PERONAL EMAIL AND CORPORATE EMAIL//,,HE GETS ALOT OF NEGATIVE ATTENTION FROM HIS VISION AND HIS VIEW I JUST DON'T AGREE WITH//,SEEMS LIKE IT IS FOR THE MIDDLE CLASS AND LOWER CLASS AND THEY TRY TO FOCUS ON THOSE ISSUES MORE//,,,THEY ARE JUST FOCUSED ON THE HIGHER INCOME BRACKETS//
602,301461,24,0,2,6,3,.5,4.5,4,4,3,4,She is a strong woman of our nation and that's pretty much it a strong american woman for our nation and she has a differnt perspepective about the nation,,Donald Trump has the nation's strong hand and he seems like he has all the answers to th nation's questions or to US questions or the Cogress questions,Sometimes he is a little bit out speaks himself and he just out speaks himself sometime I know he is going to have an answer to the qustions but sometimes he doesn't have all the answers so he outspeaks himself.,Democratic party is more for the liberal sides and the medieum or lower class families I do appreciate that becasue they evolve around America.,,They are pretty much the strong hands of america and they have a strong arm in what is being done anything that is American.,
603,301462,52,0,2,5,2,0,2.5,3.5,5,3.5,3.5,herstands on obama  care,her e-mail,strand on tax and imigration,fpringn policy,obama care,social views,stand on tax,
604,301464,23,1,1,2,0,0,,,,,,she wants to make college free cheaper than it is that is why i dont go to college do not have money,headlines made deals with enemy good and bad things pretty much any presidential election,,he is racist//he has no respect for women/he does not care about people only money//he just not a politician he was never a mayor or councilman and now he wants to run for president and it throws me off duirng debates di not answer//he is an idiot,they had Bernie Sanders,,,Donald trump is in it
605,301465,27,1,1,5,1,.5,2,5.5,5.5,5,4.5,equal pay for women,her stance on abortion,stance on abortion,"his personality,his status with other countries",,,,
606,301467,29,1,1,2,2,0,3,4,5.5,2.5,6,SHE WOULD BE THE MOST RESPONSIBLE PERSON,,,HOW HE DISCREDIT  OR PEOPLE HOW HE TALK ABOUT OTHER CANDIDATIES ESPICALLY HIL.LIARY CLINTON,FEEL LIKE THEY ARE FAIR,,,
607,301472,90,1,3,0,3,0,4.5,6,6.5,1,2.5,"strong qualifications, her history",,,"narcissist, dishonest, tells lies","their respect of people and their privacy, inclusiveness, caring for populations salaries, income and health",,they are people  I like all people just not what they stand for,"thyre exclusiveness, their inconsideration of the populus"
608,301474,46,1,2,2,3,0,3.5,5,5,3,4,"She has been through everything she has been in politic forever & I like her, shee knows what she is talking about & I like her//",,,Everything//,They want to try & help everybody//,,,They are for themselves//
609,301479,81,0,3,5,2,0,5,6,6.5,1.5,6,her experience mos probably her education//,"being dishonest greedy, her foundation, financially dishonest and and much too liberal against wall street, and a party to many of the problems we now have in the world both financially and militarily//","his immigration policy, policy on finance, trade, and relationships with Israel//","his immigrtion policy towards muslims and other ethnciities his changing mood and rhetoric using lang innaproiiate such as lying, and rigging on TV, his relationship and feeling about woman and his facial and body language is also inappropriate//",the most relevant is their caring about the social part of America//,"wanting to change america to a socialist country taking away from the rich because they have been successful and giving it to those undeservant.  obama clinton and saunders approach to our policy on african americans, police, mexicans, law and order, rampages, burning of public property and disgraceful acts//","more conservative, care more about the economy, care more about America as america is and should be,interested in building america internally favorable towards Israel against Iran deal, and more interested in the common folk//","inability to find a candidate that represents what they stand for, who is both interested and america not only himself and would be acceptable to all parts of the county, in my opinion there are many qualified and successful leaders who could fill the job as compared to Donald Trump//"
610,301481,68,0,2,2,2,0,,,,,,WORK PROGRAMS//,"not very frank, clear, doest say the truth//",,"racist, violent, aggressive, crazy//","more liberal, postive, help people//","dont take decisions, no advancement//",,"racist, insecure in decisions//"
611,301482,39,0,2,6,3,0,5.5,4.5,6,3,5,,"A lot of things.//How she seems not to tell the truth a lot./The whole Bengazi thing, that is a lot of it. Not to mention the email scandal. I think she knew exactly what she was doing.//She is a big anti gun person, too, so that is three strikes for me.// I just cant really support any of her views. She is going out there and says she is pro woman and she actually knew what her husband was doing all these years. If she is pro woman she wouldn't be covering up all the crap her husband has been doing all these years.//I dont support her tax plans either. I don't support giving all the freebies to those who don't deserve them. The middle class gets taxed the most. I don't support her views on illegal immigrants. I don't support her views on all these immigrants coming from Syria. I believe there is no way to properly vet these people. I am afraid we are going to see car bombings on our soil if these people are allowed to come here.//",I like his ideas on tax plan. I like the fact that he is pro gun. I feel that he has spent a lot of years running big business and has done a good job doing that. the government is just like big business. I like the way he is handling this. I do believe his words are changed around quite a  bit and the media has changed his words to make them sound a lot worse than what it really is.//,,,"All the free handouts that they get to everybody.//It seems like they are pretty good at lying an changing people's words around and getting off the subject. If there is something reall bad happening in Hilary Clinton's life, they tend to make something up about Donald Trump so he looks bad.//","It seems to be that the Republican Party is more for the working man. The Democratic Party used to be but isn't anymore. It seems that the Democratic Party isn't patriotic anymore, especially Barack Obama. //I don't feel like the troops are being treated fairly by any of the parties. Speaking of deplorable I think that is deplorable that they live in cars and commit suicide because they can't handle every day life.//",I dont like the fact that they have had control and could have been in control. Yet they havent and let Obama run amuck - like Obama care. He has spend trillions of dollars since he was in office. He has spent more than all the Presidents combined in the 8 years he has been in office.//
612,301483,34,1,3,1,2,0,3.5,4,4,3.5,4,"I like how her husband president, she is the first woman president//",,,He is not the kind of guy who should be president he is more like a clown and his tan and the model he was abusing her for beng fat and she got sick and she should return the crown he was super rude and she was beautiful and he push her moral down//,they tryig to avoid the poor people that have to have the benefits from the government they have to work for that we are paying our taxes for that the middle class. they have a program for poor people. Free medicare and medical for free if you are in trouble i understand. if you are okay it is not fair/,they are supporting more rich people than the poor. I understand//,I actually like that the republic are rich super ricj they concentrate on the rich and not the middle class.//,
613,301488,19,0,1,5,2,0,4,4,5,4,5,,"Everything to do with her e-mails.  Her wanting to raise taxes on the middle class. She plans to continue Obamacare, which will just get more and mor expensive.  I don't like the fact that she lies and continues to lie about Benghazi, etc.//",He's a business man and knows how to create jobs.  I like his immigration policy.  He wants to build up the military.,I don't agree with building a wall.  It's not realistic.//I don't like how arrogant he is.,,,More religious-based.//,
614,301489,65,1,3,4,2,.5,4.5,6,6,1,6,,"Everything//I find her utterly dispictable. She is self-serving, an enabler of horrible behavior. She appears incapable of telling the truth.  she apparently detests the military and law enforcement.//",He is the alternative to Hillary Clinton.//,"He is a buffoon.//  I don't believe he is qualified to be president, to hold publice office.  //",,"I believe that they have been coopted by the free shit army, the entitlement crowd.  I vehimately opposed income redisbtribution. //",I like their heritage.  I like their attempt to adhere to conservative values.  Their support of capitalism and the trait we call the American way of life.//,Their inability to get anything done.//
615,301491,31,1,2,1,0,0,4.5,6,6,2,5.5,basically slhe is trlying to help what is already in position and make it better\\,,,i think it s a publicity stunt\\,they are mainly important to provide for people who are in need\\,i feel like they could do a better job in health care\\,,
616,301495,35,0,2,4,0,0,7,7,7,1,7,,,,,,,,
617,301496,65,1,2,6,2,0,4,6.5,5.5,2,4.5,,VIEW ON AN STECHING THE THUTH,HIS CONSERN FOR PEOPLE,,,DEVICINESS,CONSERATIVE,NO UNITY
618,301497,22,0,1,4,0,0,3.5,4.5,4.5,3,4.5,,,,,,,,
619,301498,45,0,2,6,2,0,6,6,5,1.5,5.5,,"Her views on the economy and the immigration policies, that would be the main thing.//","He is the opposite of her, the things about the immigration and the economy and the things he does for the veterans, the military.//",,"They are usually for the farmer, the ozone layer thats about it and globaol warming that I agree with them on.//","They are not stong view on imigration, they cater to the lazy and give people nondeserving thing they don't work for.//Their health care views, like social security money, and the way the handle terrorism.//","Overall they are for veterans and military, for the people, normally the majority of the christian view and things of that nature.//",
620,301500,57,1,2,2,0,0,4.5,6,7,2.5,5,,All her email controversy//I don't think her health is very good,,"The world would be a disaster, I don't trust im as far as all world issues//How he treats women","I think they try to take care of some of the lower income people, the middle of the road people, not the wealthy",,,"I don;t think abortion should be prt of politics, and thats what Republicans are so much"
621,301501,43,0,3,2,3,0,4,6.5,7,1,7,The Supreme Court and preservation of the Affordable Care Act//I like her views on education and I think she has stable foreign policy credentials//,Bill Clinton//,,He lies and he does npt have a good grasp of foreign policy and he's divisive in his comments//,I like their stance on education. I think they've handled the economy well after the Bush years. I like our stance on foreign policy at the moment. I think it's good that we've withhdrawn to some degree from Iraq and Afghanistan but still have some presence there.//and I agree with the stance on the environment and that they have an inclusive platform that does not discriminate against minority groups.//,I think trade policy is weak//,Fiscal conservatism.//,They have a discriminatory platform and discriminatory against minority groups.//I worry about the environment under a Republican controlled White House and Congress//
622,301511,26,1,3,1,3,1,1.5,5.5,4,2,6,SHE'S A ADEPT POLITICIAN//GOOD AT WHAT SHE DOES EVEN IF I DON'T LIKE EVERYTHING THAT SHE DOES,TOO AGGRESSIVE IN FOREIGN POLICY,,EXPLOITING WORKING CLASS FRUSTRATIONS FOR SELF GAIN//GENERAL HIPROCACY AND INCONSISTENT POLICIES,,INCONSISTENT PRINCIPLES//ECONOMICS,,TOO MUCH RELIGIOUS INFLUENCE//HIPROCACY//DON'T LIKE MOST OF THEIR ECONOMIC PLATFORMS
623,301513,47,1,2,1,2,0,4,4.5,6.5,4,6,"all her years of experience being in government//overseas, all that government stuff",,"maybe just the shakeup, the idea of turning everybody on their head, that might be bad for us, take everybody out of their comfort zone","everything!//The fact that he really doesn't seem serious//like he just wanted attention//the fact that he has no experience whatsoever in government/politics, in city, state, Congress, Hous, mayor, governor, whatever, and the fact that all the other countries can't stand him - the leaders","More organized (than the Republicans), have more things together",Not anybody was really running for the party (besides Clinton),"They have a lot of people that want to run, whether they're good or not","Out of all of their people (presidential candidates), no one is organized or qualified//The bigger picture of - in Washington - the House and Senate, they won't work with the Democrats, it seems like it's deliberate that they'll refuse to agree with the Democrats on anything, it appears from what I see on TV that it's just grandstanding, it's deliberate, I think Ryan will be better than Boehner was, but I think that Ryan seems to be a little more cooperative, a little more willing to talk nice, play nice, plays well with others"
624,301514,62,0,3,5,3,0,5,6,7,3.5,4.5,base on expeience//prefossionalism,her baggage,he represented an opportunity to change the busines of politics,he is inexperience and I made a false assumption that he would to learn that he didnt know// his lack of professionism,They have activitly move to make their platform more current and progressive,,,their platfom is stuck in fifities and outdated
625,301515,36,0,3,0,2,0,5.5,4.5,5.5,3,5.5,political experience,"opinion changes on views or stances, might flip back and forward on issues",,:\\inexperience and unprofessionalism for the position,:\\ability the work towards issues for a common goal,,,:\\making issues stangant and not progressing on anything
626,301516,43,1,3,0,,0,,,,,,"early childhood education; reaassuring how familiar ahe is with the govt; her interests are doing good for the country, she is a smart woman//",,,"Nnot an hnest man; I don't know that he is familiar with the constitution. I don't think he is serius, I think the stock market will plunge; he will look out for his people; the people that are for him will not fare so well//","early childhood ed, inclusion, choice, education is a priority for everyone//qomen seniors//more willing to collaberate maybe a little too much//looking out for the mass of the country, everyone//",theyare soft//not united//,they are coming aroound on gay marriage//they want politics out of people's lives//,"religion, guns,wnating to kill with guns bothers me//I don't like how they take if someone is on welfare they don't understand how people get there//"
627,301519,74,1,2,0,2,0,3,6.5,7,1,6.5,experience//qualified//,,,dishonesty//putting up a wall//not alloowing refugees into the country//vulgar//crude//,"more liberal//views in general//about abortion,refugee situation//",vi,,"views on gun control, refugees, wall,abortion//"
628,301522,54,1,1,0,3,0,4,4.5,6.5,4.5,5,"first of all, she is in favor of women, as a women,mother and wife I NEED a support like hers and make it shown how much we women are worth",,,"he is racist, he is a person nefasta, pathetic, his mouth only speaks hate for the humans, and he can only obtain my great disdain",theyre defending minorities // theyre worrying about people of low income like me,,,"i dont like that they discriminate a lot, they do this to people of low income and middle income like me, people of color. // theyre also very authoritarian, they're like hitler."
629,301527,45,0,3,4,3,0,5.5,4,5,5,4,,no trust n her whatsoever in her good will towards the united states,his entire platform are 90 % in line with mine,he cant control his mouth,,lack of ability to do math,I like their platform of issues,they are self centered and self serving
630,301528,57,1,1,6,3,0,3.5,6,7,3,5,,She is very untrustworthy. If I feel that way about anybody that knocks that out of my trust. She will say or do anything to please the audience. I don't find thats a good leader//,I respect his leadership as far as business man. the way he raised his children. He didn't give them everything he wanted. He is successful and Im hoping it wil translate for the country//I liked that he used his own money for his campaign. I like that he tells it like it is. Its very refreshing. He is a straight shooter. I'm tired of the wishy washy politicians//He is very good at getting his point across. He wont be a pushover. I like somebody that is strong in their beliefs//,Sometimes he can lose his cool sometimes. he  needs to learn how to watc that//,,They ar euntrustworthy. They are way too libersal. They talk about the environment. They are some of the richest people in the world. They enable people instead of encouraging people to get a job. I don't believe in giving handouts to people who have bad behavior and thats what the demoscratic party represents. They support issues//,I like conservative. I believe in saving your money and suppoerting an being independent giving handouts ofor the right reasons. The prty is moral and stands for whats right. I believe in business to suppoert jobs and people.//,"I don't like not supporting what the party stands for. They have gotten away from representing the people, what the values are supposed to stand for the republican party. I don't like what they did to Donald Trump. If he got in they should support him and help him//"
631,301530,30,0,1,3,1,0,2.5,3.5,6.5,4,5,,,I DONT REALLY WAT,,,,,
632,301533,38,1,3,2,1,0,4,5.5,5,2,5.5,So Trump won't win,Her lack of truthfulness of her past/don't feel that she puts the people herself in regards to her country/,,I don't agree with any of his ideas or his thoughts or his values/ he's a bad person/,,,,
633,301536,60,0,3,6,3,.5,3.5,6.5,4.5,2,6.5,,"ICorruption//incompetence//political beliefs/supreme court//lack of succes in enything she has ever done in public life//her general philosofy//her general vision, I do not like Hillary//",Now he seems like a good family man but he was not before//All the things I said for Hillary are true with Trump but less//His supreme court promises//,He is not bad as Hillary but is nor very good//,Highly organized//very strong in support their beliefs and philosofy//,corruption in the leadership//they are a criminal organization mascareiter in a political party//they are very racist in the leadership level//they are very divisive at the leadership level//power hungry at the leadership level//anti-america at the leadership level//comtenptuoas of the people//poorly inform and leadership are incurable liars//,Small goverment focus//generally pro-life//generally not intrusive in persona; behavior//pro free speach//pro individual freedom//generally pro- strong foreign policy//stronger anti-terrorism//more pro education//more pro religious freedom//more pro constitutionalism//,insuficient firm in supporting their belifs and philosofy//too many
634,301538,23,0,2,0,3,.5,5,7,2,7,6.5,"I really likek her economic policy.// I don't think it goes far enough, but I think it's sound and a good start; and wouldn't undo any of the progress we've made, such as raising minimum wage and protecting American jobs.// I also really like that she's emphasized women's rights and gender rights.// I think she would nominate really capable Supreme Court justices who would work in the interest of promoting equlity, fairness, and sensible legislation.// I also think she's very experienced in the political arena and that's very important in this uncertain political climate.//",She's very much a defender of the status quo.// I was drawn to Bernie Sanders because he was pushing at the boundaries of our political system and what's important; and with Hillary she's more status quo.// Would like a president who is less conflict-oriented; and that's not seemingly on Hillary's agenda.//,,"I think particularly his stance on immigration and race relations. // He seems like a modern-day Hitler.// Genreally, his stance on civil rights, specifically racism, sexuallity, gender as well.  Also separation of church and state.// Can't think of a single policy off the top of my head that i can agree with.//  His policies range from not making sense to being outright offensive.//","I think as a party they are more representative of the social quality and social values that are important to me.// I feel like they support regulation and government involvement, which I think is important.// The idea that everyone in the community should be supported and part of government.//",I feel like the Democratic Party is entrenched in one way of being.//,,I disagree with their social stances; especially how religious and radically religious it's become.// And I don't like their stance on intense deregulation of the government.//
635,301541,22,1,1,6,2,0,5.5,4,4.5,5.5,3,,liar/theif//ran the white house once into the ground//aborthion//her stragies on how to actually run the country suck//contradicts herself//,honest//against abortion//for border control//he is not Hilary//,vulagarity//disrespect//sexual arassment//,,Hilary Clinton//,they are always against obortion//they typically have a more Christian viewpoint about running the country//George Bush Jr//gun control//,Donald Trump//
636,301544,29,0,1,1,2,0,4,4,4,4,4,she will follow thru with what Obama has done//,her track record about being caught in lies//,,"traumtums, political view that I so not agree with//",,,,
637,301545,60,1,2,0,3,.5,6,5,6,2.5,5.5,I feel like Hillary Clinton has been in the political arena for a long time and I like her. She's a politcal person and has been in the politcal arena for a long time I feel politcs is a game. If you don't know how to go around to the Senate and Congress and you can't make enmies//,,,I think he is a business man and that is not the same as politics. When you are in business you tell other people I don't need you. In his speeches he is telling people he is against them doesn't need them. American is a melting pot. When we stop helping people here that is bad. You don't point out certain people. It makes me cry. It is upsets me. He is pointing fingers at people. He doesn't say anything about the Klu Klux plan but he wants to pick out regilious groups and minorities. They are the biggest group of terriorist I know for 60 years. That's what upsets me. It's not a reality show.//,"I do like they take the whole nation as a whole. They look at the minorities, they are concerned about how everyone feels. They are trying to help everyone even though I know they can't they are going to try.//",The problem is they are trying to help to many people. Somtimes you have to cut the line. You can't please everybody. You have to choose your battles. Can't fight them all//,Only thing possibly is everyone should work and have a functional job. Don't rely on handouts. I do believe that. There's so much help you can give somebody//,I haven't heard anything about senior citizens. I have to consider myself a senior citizen as I'm [REDACTED AGE] now. They want to cut social security programs. Social Security keeps going up and up. No one is saying anything about the older citizens. I have to work until I'm almost 80 and I'm not feeling that. I want to cry.//
638,301551,75,0,1,4,1,0,3,5,5,3,4,,everything. I don't trust her. She just lies//,He wants to change things. We need a change I think//get the foreigners back where they belong//,He does stupid things sometimes. he jumps ahead of himself//,They stick together. They seem to work together//,Hillary Clinton//,,They don't stick together//
639,301552,,,1,6,,0,,,,,,,,better,,,alot,,
640,301553,66,0,1,3,0,0,3.5,4.5,4.5,3.5,5,Being a woman//,,,,,,,
641,301556,64,0,3,1,3,.5,4,5,5,3.5,4.5,"She has a good track record from those around her in the positions she has been in, I would consider her a corporate Democrate which I do not think is favorable but I do feel she is sincere and competant//","she is policially, compromise herself to be politicaally safe, I feel the NAFTA CAFTA with China would hurt the US, I think that damaged this country tremenduosly that it has made wealth going to the top//",,"Certainly, his willingness to use race as a division he makes me think of Moseleni, he can say so many lies it is disconcerting and people are willing to overlook that and people are looking for a strong man//","Do think they are more ameanable to being influanced by traditional deomocratic values, the standards that Berney Sanders represents, the idea of 'we' the common good//","Like the republicans to a lesser degree are beholding to big money but not to the degree as the republican party, the outing of the emails from the DMC all weighted in Hilliary's favor and not a fair process but historically those are things that have to beovercome//",Just that many republican feel patriatism//,"They are intensionally dishonist and delutional and the candidates they have been putting out are frauds, they use cheating and very heavily favor the wealthy, I think that there are many within the republican party that do not believe in in democtracy, Citizins united came from the right//"
642,301560,32,1,2,3,0,0,4,4,4,4,4,,,,,,,,
643,301562,44,1,2,4,2,0,6,4.5,6.5,4.5,5,,"she's a liar, things I have read on the internet, not everything is true but// I just don't trust the Clintons//","He wants to right by the country, Is he going to right by the country, can he do what's right by the country I'm just not sure if he can //","Just No Filter and you know he just , he acts like a bully he needs to get up there with facts and not with insults//","i like the fact that they do help the people that really need it, they make sure inner city kids have after school programs//","They are letting everybody in the country and they are giving everything away, letting people vote that aren't citizens//","they want to do good for, one thing about the republican party it helps us, they are not going to hurt us , the democrats just give everything away and just let everyone in the country, so they can get the votes, my husband is in construction and all the minorities are taking all the jobs//",most of them are full of it//
644,301563,49,1,3,6,2,0,6,6.5,3.5,1.5,6,,"Corruption, and distrust//self serving.","Hope, security.","No track record, unproven//I do not want to say hotheaded.",,Unwilling to compromise.  Favors big government.//Pro Choice//Does not support people's constitutional rights.,Conservative values. National security.,Corruption.  Waivering.
