V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
4835,407173,,1,2,3,2,.5,4.5,5.5,7,3,5.5,,To much schandal,,To mouthy with out thought,,To much welfare/ we need to encourage educ not welfare,,
4836,407174,41,1,1,1,1,0,3,3.5,5,4,4,,,,,,,,
4837,407175,,1,2,1,,0,,,,,,PREPARED,,,RACIST,HOPE,,,
4838,407176,57,0,2,0,2,.5,2.5,5,5.5,4.5,4,Experience,,,"Xenophobic, racist, narcissistic, dimwit","Inclusiveness, progressive platform",They are still too far to the right.,,Only care about the rich.
4839,407177,37,1,1,0,2,0,2.5,5,5,2,6.5,Toma en consideraci├│n a todo los ciudadanos.,,,Su mala conducta.,Que es democrata,,,Donald Trump
4840,407178,46,0,3,3,2,0,2,4,5.5,3.5,5.5,,"Personality, honesty issues, Party affilation",,"Party affiliation, personality",,"Social services, social spending, foreign diplomacy",,"Spending budgets, foreign diplomacy"
4841,407182,60,1,3,1,1,0,4,7,7,4,6,past experience,,,not qualified for the job,,Can't get themselves unified,,Want to block any sort of forward progress
4842,407184,51,0,2,4,2,0,4,4.5,6,4,4.5,,cant be trusted,we need change,,,,,
4843,407187,61,1,2,4,2,0,2.5,6.5,5,5,4,,Dishonest,Not Hillary Clinton,,,Too many freebies,Trying to get rid of Obama Care,Can't seem to accomplish what they set out to do.
4844,407188,65,0,2,2,2,0,5,4.5,6,4,4,Democrate,,,wishy washy,,,,Cant make decisions
4845,407191,66,0,3,5,3,0,5,5,5,3.5,7,,lies,action-oriented,lies,caring for under-served,"nastiness, elitism, condencending ways",focus on individualism vs. collectivism,homophobia and other narrow-mindedness
4846,407192,51,0,2,4,2,0,4,6,4.5,3.5,4,,in my opinion she seems to think she is above the law,to get industy to stay in U.S.,he tends to take politics a little to personal,,,,
4847,407193,50,0,1,3,1,0,5,6,6.5,2.5,6,,No comment,No comment,,,,,
4848,407195,40,1,3,5,2,0,3.5,4,5,1.5,6,She is not Donald Trump.,,,"He is a sexist, narsistic, racist, jerk.",Views on education.,,I'm more conservative by nature.,Everything about Trump.  The party is no longer credible.
4849,407198,40,1,3,0,3,0,3.5,2,7,1.5,5,She has more experience and is calm under pressure,,,He is dishonest and has zero experience for the job,More for the greater good for EVERYONE,How quickly they jump into bed with specisl interest groups,Ronald Reagan,Want the richer to be richer & the poor to be poorer
4850,407201,24,1,1,5,2,0,4,4,4,4,4,Her experience,For abortions,The wall,His temper,,,,
4851,407203,43,1,2,6,0,0,5.5,6,6.5,3.5,6.5,,"unsecured emails, unknown health condition, etc.","Male, stable mood, simplicity, etc",,,"supports gay/lesbian,expansive social welfare programs","supports 'traditional family values',oppose gun control",
4852,407204,70,1,3,5,3,0,4,6.5,7,2,5.5,,Honesty,,,Women's rights,,Isis issues and handling of it,Handling medical program
4853,407205,73,1,2,4,1,0,2,6,6,2,4,,"Her integrity, her performance while SoS",He is not part of the political establishment,,,Their support of labor unions and the out of control entitle,the support of the free enterprise system,the good old boy politics
4854,407206,58,1,3,0,3,0,,,,,,power,,,,4the people,4thepoe,,
4855,407209,55,0,2,0,2,0,6.5,7,7,1,7,her track record,,,his lack of experience and i cant take him seriously,a willingness to make the country progressive for all americ,they dont speak up when republicans make stupid and direspec,,go against policies they where for before Obama became presi
4856,407210,32,1,2,4,2,0,6.5,6.5,6.5,2.5,6,,,,,,,,
4857,407211,55,0,2,6,2,0,5.5,6.5,7,1,4.5,,"Free education, who will pay for all the freebies","Foreign Policies, Stand against immigration",,,Liars are spend and increase taxes,fiscal conservative,
4858,407213,24,0,2,5,2,0,5.5,4.5,2,4,5,,,,,,,Christian Based,
4859,407215,69,0,2,4,2,0,3,5.5,7,1.5,4,,,stopping illegal immigration,,,,,
4860,407216,45,1,2,3,2,.5,2.5,7,6,2,5.5,,SHE IS UNACCOUNTABLE FOR HER ACTIONS.,,,,,,
4861,407218,53,1,3,0,3,.5,4,6,6.5,2.5,6,dedication to this country,,,completely incompetent,help working class,sometimes forget ordinary people,help small business,too much religion
4862,407222,55,0,3,5,2,0,2.5,6,6.5,3.5,5,,Transparency issues,,Arrogant,Unsure,,Less Government,Donald Trump
4863,407223,58,1,2,4,2,0,4,5.5,4.5,3,4.5,,political views,,Arrogance,,tax and spend,family values,flip flop policies
4864,407229,32,0,1,3,0,0,4,2,7,1,1.5,,Email scandal,,,,,Donald Trump,
4865,407231,71,0,3,6,,0,,,,,,,dishonest,background,,abortion,everything,no on abortion,
4866,407233,30,0,1,1,,0,,,,,,,,I like his political veiws,,,,,
4867,407236,86,0,2,6,,0,,,,,,,"Lying, untrustworthy",Truthfully wants america to be great again,,,,Seems more for america,
4868,407238,74,0,1,3,2,0,3,6,6.5,2,5,,,,,Their policies on Immigration and job growth,"Sec, Clinton and the classified Emails",,We could be electing our first dictator
4869,407240,70,0,2,4,3,.5,6,6.5,7,1,7,,Benghazi,Second Amendment,,,They have a liar representing them,Second Amendment,Lack of support for Trump/Pence
4870,407242,43,0,2,6,,0,,,,,,,Corruption,"He's NOT a politician, and he's a business owner (like me).",I don't think he is as intelligent as some candidates are.,'Some' environmental issues I support,"Entitlements, high taxes, free this and free that, etc.","Anti-entitlement, 2nd Amendment, abolish the IRS",Lobbyiest and the power large businesses have over politians
4871,407243,54,1,3,0,2,0,4.5,6,6.5,1.5,4.5,qualified,not truthful,,not qualified,party for the people,free rides for those that don't contribute to their own,,lack of decision making
4872,407245,46,1,1,3,2,0,4,4.5,5.5,5,4.5,She has experience,,,He's racist,,,,
4873,407246,54,1,3,5,1,0,5.5,6,6.5,1,5,,"corrupt, breaks laws, not interested in the 'people'",,too self absorbed/arrogant,,"too liberal, concentrates on benefits for poor, but no chang",less liberal,
4874,407250,47,1,1,0,2,0,1.5,6.5,6.5,1,7,She a women and seem to have good ideas,,,He dont care about the poor comunity,All depends,,,Most of the time there for the rich
4875,407255,57,1,2,2,2,0,6.5,3,6.5,4,7,I had voted for her the last time she ran,gun control.,,It's just him.,pro-choice,gun control,,pro-life
4876,407262,51,1,3,6,1,0,2,7,7,2.5,4,,She's corrupt.,,,,Over spending. Too many handouts.,They are against big government.,
4877,407263,24,0,1,1,,0,,,,,,,,,His beliefs,,,,
4878,407268,,1,3,1,1,0,2,3,5.5,4,4.5,Better than Trump,Doesn't seem authentic.,,"Concerned about actions he may take, not serious","Similar views, more liberal",Need bigger effort to make change,"A few views I agree with, i.e. right to bear arms","Some view I also don't agree with, more conservative"
4879,407269,,0,3,5,2,0,4.5,6.5,4,1,6.5,,Christian,Make America great again,,,Not doing good job,Disagree with democrats,
4880,407270,58,1,3,3,,0,,,,,,Her experience.,If some illegal action was to be brought forth about her.,I do not care for his attitude towards various races & women,"His attiutde, his hostility, he is unbelievable",,,,
4881,407272,79,1,1,5,3,0,,5,6,3,-3,,Several things,,,,"Give lazy people, take away from old and vets",,
4882,407274,50,0,2,0,,0,,,,,,she does not discriminate other nationalities,,,he discriminates and has no experience in politics,,n/a,,they don't tax the rich like they tax the poor
4883,407275,47,0,3,6,2,0,5,4,6,2,2.5,,"liar, manipulator, fake, untrustworthy, derogatory, rich","policies, businessman, get the job done, blunt, not PC",,,"What they stand for, everything, shady and manipulative",Ideals and what they stand for,"Not getting the job done, not forceful enough"
4884,407276,53,0,2,2,,0,,,,,,,no comment,,no comment,no comment,,,
4885,407282,22,1,2,3,2,.5,4,4.5,5,3.5,5.5,experience,dishonesty,,inexperienced,The President,fence sitters,,obstructionists
4886,407286,32,1,3,1,2,0,3,5.5,7,4,5.5,has had a lot of experience in foreign topics,,bombastic,"racism, rude and selfish",tries to help everyone,Too many rules/laws,Small business benefits,does not take of all people
4887,407288,53,1,3,2,,0,,,,,,She is not Donald Trump!,Typical politician!,,Unfit to be President!,"Somewhat more inclusive, caring, open-minded, peace oriented",Somewhat lesser than two evils.,"Not all are unreasonable,or uncompromising","Far >,gun/bible/$$ fanatics,hypocritical"
4888,407290,37,1,2,1,1,0,4,2.5,4.5,3.5,4.5,,,,EVERYTHING,,that we are so divided,,that we are so divded
4889,407292,38,0,3,0,2,0,4,3.5,4,5,3.5,agreement on major political issues,,,disagreement on political issues. horrible role model. bigot,,,,they are keeping our country at a stand still. blocking ever
4890,407298,38,0,1,6,,0,,,,,,,She's pro abortion,He's a Republican,,Abortion and gun laws,Abortion and gun laws,Right to bear arms,
4891,407304,23,1,1,0,,0,,,,,,I share common views with her,,,He is the anti christ,It's progressive,,,Pretty much everything.
4892,407305,42,1,1,3,1,0,4,4.5,5.5,5.5,5,,,,,,,,
4893,407308,32,1,2,0,1,0,2.5,4.5,4.5,4.5,4,Democrat,,,"no experience, loud mouth, rude, jerk",share many of the same views,,,"use religious ideals to base their politics, not open minds"
4894,407311,74,1,1,0,,0,,,,,,"Muy Buena Politica ,onesta y con mucha esperienza ,inteligen",,,"Mentiroso ,Rasista, no confiable.",Persolal opinion,,No Coment,
4895,407314,53,0,2,0,2,0,5,5,6.5,3,5,Trump will definately get us into another war,,,Trump will definately get us into another war,liberal,,conservative,too self serving
4896,407317,43,1,2,0,3,0,4,6,5,2.5,6.5,most qualified candiate,,,he's a misogynist,community minded,,,against LGBTQ
4897,407319,67,0,2,4,2,0,4.5,4,6,2.5,4.5,,untrustworthy...liar,he is not hilliary clinton,blow hard,they are loyal to each other,pander to too many groups,more conservative than democrats,don't fight for their values
4898,407321,19,0,1,5,2,0,5,6,7,5,4.5,,"dishonest, politically tied to washington","bring back jobs to america, law and order, border control",,,"inability to deal with terrorism, lying to american ppl",,
4899,407324,28,1,3,0,3,1,6,6,7,5,5.5,"Social Issues (Abortion, Gay Marriage, Healthcare)",She is an establishment candidate,He is not an establishment candidate,Everything else,Handling of social issues and bipartisan dealings,Not disclosing all decisions and deals,,Opinions on social issues
4900,407327,27,1,2,3,,0,,,,,,Her views on affordable education,she is a liar,,Everything,,,,
4901,407328,43,0,3,1,0,0,4.5,5.5,7,3.5,4,She can make a difference,,,He is crazy,Middle class,,,
4902,407333,28,0,2,3,2,0,5.5,4,7,1.5,6.5,,she should be in jail,,,,,,
4903,407336,46,0,1,0,2,0,3.5,4.5,4,2.5,4,,dosent care about black african americans,,dosent care about poor,simpathetic too poor,,,dosent reconize poor or middle class
4904,407340,31,0,3,4,1,.5,5.5,4.5,6.5,3.5,5.5,,,,,,,,
4905,407342,21,1,2,1,0,0,7,7,4,5,7,female and her intension for the U.S.A.,,,The wall he is intending to build and racial slurs,helping to higher education students,,,
4906,407352,59,1,3,2,3,0,6,3,4,5.5,4.5,Continue a responsible campaign,,,Continue what he is doing now,Affordable Health Care Act,,,Stalling vote on Supreme Court justice
4907,407353,49,1,2,5,2,0,3.5,7,7,1,4,,she plans to keep obamacare,he won't allow illegal imigrants to stay in our country,,,i don't like the policies they put in place,i believe in their policies and their candidates,
4908,407355,20,1,1,6,,0,,,,,,,Everything about her is a lie. She's a pathological liar.  O,N/A,,,N/A,Everything,
4909,407357,47,0,2,0,2,.5,1,3,5,3.5,5.5,I want a woman president,,He's not fit to be president,HE'S NOY FIT TO BE PRESIDENT,,,,
4910,407364,37,0,2,1,2,0,3,6,5.5,4.5,4,she's a woman,she's a liar,speaks his mind,he's a biggot,,,jobs,donald trump
4911,407365,40,1,1,3,0,0,4,4,4,4,4,,,,,,,,
4912,407366,21,1,2,1,0,0,6.5,6,6.5,2.5,7,,Dishonest,His attitude,,,,,
4913,407368,45,0,2,0,2,0,4.5,4,4,4,4,Helping the poor,,,Everything,Helping the poor,,,Everything
4914,407373,85,1,1,6,2,0,5.5,6.5,6.5,2,5.5,,She is a liar,stop the Obama legacy that Clinton will continue,His big mouth,,,better policies,
4915,407377,32,1,2,2,0,0,5,4.5,6,4,3.5,She would be the first female president of the USA,She has been hushed by money regarding National Health Care,Good or bad he says exactly what's on his mind mostly,"He is a racist, a sexist, and a classist",All inclusive,Not enough motivation for real change or go get em attitude,They are dull but intersetingly entertaining,Most Ideas forget about the urban areas and minorities
4916,407378,51,1,3,4,2,0,4.5,4,7,3,3.5,,Too much negative baggage,Change,Loud mouth,Seems to pay closer attention to Corporate crooks,Way too much welfare,More fiscally conservative,"Stubborn in their ways, Corporate Welfare and croynism"
4917,407380,33,1,2,4,1,.5,2.5,5.5,5.5,4,5,Shes driven and independent,Scandals-does she believe laws apply to her?,,"Racist comments,he also seems sexist &irresponsible",,,,
4918,407381,41,1,2,5,,0,,,,,,,Gun control,,Attitude,,,,
4919,407382,32,0,2,0,3,.5,6,6.5,6.5,2,6,Environmental policies,,,homophobe/ racist/sexist/ ill tempered,views on global warming/ LGBT/womens rights /abortion,,,Gun policies/ homophobes / global warming deniers
4920,407385,68,0,2,0,2,0,2.5,7,7,1,6,She is a lifelong politician.,,,Arrogant. No understading of policy.,policy,,,they just don't get it
4921,407387,43,0,3,2,3,0,1.5,6,7,2.5,4.5,"More in touch with the needs of minorities, etc.",,,He's a bigot. He only looks out for himself.,They are progressive and want to move us forward.,They have not done enough to distinguish from Republicans.,,"They're a bunch of obstructionists, unwilling to compromise."
4922,407388,31,0,3,2,2,0,3,7,6,4,2.5,"She is rational, qualified, and calm in face of adversity",,,he is purely and solely self interested and propagates hate,"Social progressivism, putting progress ahead of money",At times feels 'touchy feely',,"Unwillingness to compromise, mixture of c&s, overzealous"
4923,407392,35,0,2,5,,0,,,,,,,Her philosophy on how our government is to run is flawed.,He is not politically correct.  I like that!,,,Their keynesian economic philosophies,Ron Paul,Same as democrats.  Their keynesian philosphy
4924,407393,30,0,3,0,,0,,,,,,I agree with some of her views and vision for the USA,,,"His views on certain issues, I dont particularly agree with.",They do what needs to be done for the people of the USA,,,They care more about themselves
4925,407395,45,1,3,1,,0,,,,,,womens issues,,,"views on women, other races, LGBT community and abortion",views on social issues,healthcare management,,views on social issues
4926,407396,80,1,2,5,2,0,5,7,5.5,3.5,4,,"Her character, I don't like liars",I believe he will try to make America great again!,,,dishonesty,They seem more honest and upfront,
4927,407399,27,1,1,3,1,0,5,5.5,4.5,3.5,4.5,,Also ignorance,,Ignorance,Social Equality,Affordable Care Act,Keeping government out of our private life,Religious or anti gay attitudes
4928,407402,44,0,2,2,2,0,3.5,4.5,6,3.5,6,the experiance if having a female in office,other countrys not respecting usa for having a women in offi,help with jobs,jobs  paywages increase,funding for stuff other than our middle class,dont push hard enough for higher wages for middle class,help other countrys more than ours first,need to help more with our drug addiction funding
4929,407405,32,0,2,0,1,0,2.5,4,2.5,2.5,4.5,,,"Getting rid of illegal immigrants,giving jobs backtoAmerica",,Their willing to stand up an fight for our rights an take no,,The keep things balanced,Their pansies
4930,407407,39,0,2,6,1,0,4,5.5,5.5,2,6,,Gun control,Business man,,,"Health care, gun control",I was raised republican,
4931,407409,56,0,1,6,2,0,5.5,4.5,5.5,4,5.5,,"Lies,cheats the system, defrauds the public","Speaks his mind,I think his business experience will  help.",,,the look out for mostly the poor and take from the working,look out for the working class,
4932,407412,23,1,2,4,3,0,5,5.5,7,2.5,6,,not trustworthy,US security,,equality,,conservative views,
4933,407414,59,1,1,6,3,0,2,6.5,7,2.5,6,,,he is  not a politician,if he fails to lay out specific plans/ideas,,,I believe in building the economy with the Rep ideals,sometimes too rigid to minorities
