35,7,20,3105
35,7,25,945
35,8,2,2116
35,8,3,2313
35,8,4,2407
35,8,5,7
35,8,6,18
35,8,7,2643
35,8,8,2714
35,8,9,2781
35,8,10,2911
35,8,15,378
35,8,20,3042
35,8,25,945
35,9,2,2104
35,9,3,2246
35,9,4,2435
35,9,5,2515
35,9,6,2571
35,9,7,2717
35,9,8,2735
35,9,9,2795
35,9,10,2918
35,9,15,378
35,9,20,3049
35,9,25,3059
35,10,2,2103
35,10,3,2261
35,10,4,2490
35,10,5,2534
35,10,6,2618
35,10,7,2722
35,10,8,2749
35,10,9,2795
35,10,10,2890
35,10,15,378
35,10,20,3049
35,10,25,3059
35,15,2,2148
35,15,3,2335
35,15,4,2563
35,15,5,2451
35,15,6,2681
35,15,7,2719
35,15,8,2775
35,15,9,2768
35,15,10,2795
35,15,15,2761
35,15,20,2900
35,15,25,3046
35,20,2,2156
35,20,3,2195
35,20,4,2314
35,20,5,2426
35,20,6,2578
35,20,7,2608
35,20,8,2557
35,20,9,2635
35,20,10,2718
35,20,15,2750
35,20,20,2873
35,20,25,3046
35,25,2,2370
35,25,3,2262
35,25,4,2253
35,25,5,2492
35,25,6,2559
35,25,7,2584
35,25,8,2518
35,25,9,2597
35,25,10,2669
35,25,15,2821
35,25,20,2936
35,25,25,945
40,2,2,2134
40,2,3,2281
40,2,4,2503
40,2,5,2718
40,2,6,2
40,2,7,2903
40,2,8,2929
40,2,9,2966
40,2,10,3088
40,2,15,3048
40,2,20,267
40,2,25,3180
40,3,2,2097
40,3,3,2240
40,3,4,2477
40,3,5,2647
40,3,6,2
40,3,7,2879
40,3,8,2932
40,3,9,2942
40,3,10,3007
40,3,15,3050
40,3,20,267
40,3,25,3177
40,4,2,1942
40,4,3,2240
40,4,4,2476
40,4,5,2612
40,4,6,2
40,4,7,2885
40,4,8,2929
40,4,9,2917
40,4,10,3000
40,4,15,2960
40,4,20,3089
40,4,25,3113
40,5,2,2040
40,5,3,2298
40,5,4,2482
40,5,5,2638
40,5,6,2
40,5,7,2916
40,5,8,2881
40,5,9,2910
40,5,10,3007
40,5,15,2958
40,5,20,3023
40,5,25,941
40,6,2,2111
40,6,3,2298
40,6,4,2548
40,6,5,2663
40,6,6,2
40,6,7,2696
40,6,8,2889
40,6,9,2929
40,6,10,2970
40,6,15,2955
40,6,20,3027
40,6,25,941
40,7,2,2163
40,7,3,2321
40,7,4,2
40,7,5,2
40,7,6,2
40,7,7,2701
40,7,8,2884
40,7,9,2911
40,7,10,2941
40,7,15,2955
40,7,20,3027
40,7,25,941
40,8,2,2221
40,8,3,2418
40,8,4,2664
40,8,5,2760
40,8,6,2739
40,8,7,2707
40,8,8,2685
40,8,9,2904
